system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	4990.0	991.0
Musculoskeletal System	Joint	578.0	991.0
Nervous System	Nervous System	4770.0	991.0
Cardiovascular System	Heart	4630.0	991.0
Cardiovascular System	Vascular	835.0	991.0
Digestive System	Tongue	3850.0	991.0
Digestive System	Colon	3130.0	991.0
Digestive System	Pancreas	1680.0	991.0
Digestive System	Liver	1500.0	991.0
Digestive System	Salivary gland	1250.0	991.0
Digestive System	Stomach	701.0	991.0
Digestive System	Small intestine	685.0	991.0
Digestive System	Peritoneum	523.0	991.0
Digestive System	Esophagus	496.0	991.0
Urogenital System	Testes	3650.0	991.0
Urogenital System	Kidney	1900.0	991.0
Urogenital System	Uterus	1840.0	991.0
Urogenital System	Placenta	1240.0	991.0
Urogenital System	Ovary	1090.0	991.0
Urogenital System	Bladder	1020.0	991.0
Urogenital System	Vagina	748.0	991.0
Urogenital System	Prostate gland	608.0	991.0
Urogenital System	Urethra	450.0	991.0
Urogenital System	Penis	438.0	991.0
Endocrine System	Thyroid gland	2770.0	991.0
Endocrine System	Adrenal gland	2270.0	991.0
Endocrine System	Adipose tissue	1030.0	991.0
Endocrine System	Pituitary gland	905.0	991.0
Olfactory System	Nervous System	2710.0	991.0
Immune System	Immune System	2190.0	991.0
Respiratory System	Lung	1450.0	991.0
Integumentary System	Skin	735.0	991.0
Exocrine System	Mammary gland	728.0	991.0
Visual System	Eye	570.0	991.0
