system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	4710.0	967.0
Musculoskeletal System	Joint	1850.0	967.0
Digestive System	Small intestine	3770.0	967.0
Digestive System	Tongue	1780.0	967.0
Digestive System	Stomach	1490.0	967.0
Digestive System	Colon	1440.0	967.0
Digestive System	Salivary gland	1200.0	967.0
Digestive System	Peritoneum	952.0	967.0
Digestive System	Esophagus	718.0	967.0
Digestive System	Pancreas	629.0	967.0
Digestive System	Liver	614.0	967.0
Immune System	Immune System	3170.0	967.0
Cardiovascular System	Vascular	2910.0	967.0
Cardiovascular System	Heart	1820.0	967.0
Nervous System	Nervous System	2260.0	967.0
Urogenital System	Bladder	1960.0	967.0
Urogenital System	Prostate gland	1590.0	967.0
Urogenital System	Vagina	1380.0	967.0
Urogenital System	Uterus	1270.0	967.0
Urogenital System	Kidney	1190.0	967.0
Urogenital System	Urethra	1130.0	967.0
Urogenital System	Testes	1010.0	967.0
Urogenital System	Penis	760.0	967.0
Urogenital System	Placenta	605.0	967.0
Urogenital System	Ovary	551.0	967.0
Endocrine System	Thyroid gland	1090.0	967.0
Endocrine System	Pituitary gland	975.0	967.0
Endocrine System	Adrenal gland	839.0	967.0
Endocrine System	Adipose tissue	649.0	967.0
Olfactory System	Nervous System	1080.0	967.0
Respiratory System	Lung	913.0	967.0
Exocrine System	Mammary gland	590.0	967.0
Integumentary System	Skin	564.0	967.0
Visual System	Eye	492.0	967.0
