system	organ	exp	control
Endocrine System	Adipose tissue	3990.0	334.0
Endocrine System	Thyroid gland	529.0	334.0
Endocrine System	Adrenal gland	318.0	334.0
Endocrine System	Pituitary gland	208.0	334.0
Digestive System	Colon	3280.0	334.0
Digestive System	Small intestine	1070.0	334.0
Digestive System	Stomach	777.0	334.0
Digestive System	Pancreas	464.0	334.0
Digestive System	Liver	452.0	334.0
Digestive System	Salivary gland	424.0	334.0
Digestive System	Tongue	381.0	334.0
Digestive System	Esophagus	282.0	334.0
Digestive System	Peritoneum	259.0	334.0
Exocrine System	Mammary gland	2750.0	334.0
Immune System	Immune System	2220.0	334.0
Urogenital System	Bladder	1570.0	334.0
Urogenital System	Placenta	1030.0	334.0
Urogenital System	Ovary	773.0	334.0
Urogenital System	Vagina	556.0	334.0
Urogenital System	Urethra	540.0	334.0
Urogenital System	Kidney	409.0	334.0
Urogenital System	Testes	402.0	334.0
Urogenital System	Prostate gland	329.0	334.0
Urogenital System	Uterus	323.0	334.0
Urogenital System	Penis	273.0	334.0
Cardiovascular System	Heart	1090.0	334.0
Cardiovascular System	Vascular	784.0	334.0
Respiratory System	Lung	1040.0	334.0
Musculoskeletal System	Joint	943.0	334.0
Musculoskeletal System	Skeletal Muscle	362.0	334.0
Integumentary System	Skin	703.0	334.0
Nervous System	Nervous System	591.0	334.0
Olfactory System	Nervous System	300.0	334.0
Visual System	Eye	204.0	334.0
