system	organ	exp	control
Nervous System	Nervous System	21000.0	1290.0
Urogenital System	Placenta	10100.0	1290.0
Urogenital System	Testes	5790.0	1290.0
Urogenital System	Kidney	2460.0	1290.0
Urogenital System	Prostate gland	1490.0	1290.0
Urogenital System	Uterus	1020.0	1290.0
Urogenital System	Vagina	1010.0	1290.0
Urogenital System	Bladder	976.0	1290.0
Urogenital System	Penis	931.0	1290.0
Urogenital System	Urethra	634.0	1290.0
Urogenital System	Ovary	550.0	1290.0
Endocrine System	Thyroid gland	6410.0	1290.0
Endocrine System	Pituitary gland	2420.0	1290.0
Endocrine System	Adrenal gland	1590.0	1290.0
Endocrine System	Adipose tissue	559.0	1290.0
Immune System	Immune System	6010.0	1290.0
Respiratory System	Lung	4750.0	1290.0
Digestive System	Salivary gland	2930.0	1290.0
Digestive System	Small intestine	2520.0	1290.0
Digestive System	Colon	2150.0	1290.0
Digestive System	Liver	1450.0	1290.0
Digestive System	Tongue	1440.0	1290.0
Digestive System	Pancreas	1300.0	1290.0
Digestive System	Esophagus	1080.0	1290.0
Digestive System	Stomach	967.0	1290.0
Digestive System	Peritoneum	668.0	1290.0
Musculoskeletal System	Skeletal Muscle	1850.0	1290.0
Musculoskeletal System	Joint	450.0	1290.0
Olfactory System	Nervous System	1520.0	1290.0
Visual System	Eye	1370.0	1290.0
Integumentary System	Skin	1270.0	1290.0
Cardiovascular System	Vascular	1270.0	1290.0
Cardiovascular System	Heart	1110.0	1290.0
Exocrine System	Mammary gland	999.0	1290.0
