system	organ	exp	control
Immune System	Immune System	10200.0	2060.0
Respiratory System	Lung	3870.0	2060.0
Exocrine System	Mammary gland	3820.0	2060.0
Digestive System	Stomach	3600.0	2060.0
Digestive System	Tongue	3280.0	2060.0
Digestive System	Colon	3210.0	2060.0
Digestive System	Small intestine	2640.0	2060.0
Digestive System	Salivary gland	2280.0	2060.0
Digestive System	Esophagus	2160.0	2060.0
Digestive System	Pancreas	1880.0	2060.0
Digestive System	Liver	1780.0	2060.0
Digestive System	Peritoneum	1230.0	2060.0
Visual System	Eye	3170.0	2060.0
Endocrine System	Adipose tissue	2790.0	2060.0
Endocrine System	Thyroid gland	2700.0	2060.0
Endocrine System	Pituitary gland	2280.0	2060.0
Endocrine System	Adrenal gland	1820.0	2060.0
Urogenital System	Bladder	2760.0	2060.0
Urogenital System	Uterus	2560.0	2060.0
Urogenital System	Placenta	2480.0	2060.0
Urogenital System	Vagina	2470.0	2060.0
Urogenital System	Urethra	2230.0	2060.0
Urogenital System	Penis	2000.0	2060.0
Urogenital System	Kidney	1920.0	2060.0
Urogenital System	Ovary	1920.0	2060.0
Urogenital System	Prostate gland	1800.0	2060.0
Urogenital System	Testes	1780.0	2060.0
Integumentary System	Skin	2720.0	2060.0
Musculoskeletal System	Skeletal Muscle	2400.0	2060.0
Musculoskeletal System	Joint	1430.0	2060.0
Cardiovascular System	Vascular	2400.0	2060.0
Cardiovascular System	Heart	1900.0	2060.0
Nervous System	Nervous System	1620.0	2060.0
Olfactory System	Nervous System	1570.0	2060.0
