system	organ	exp	control
Immune System	Immune System	7350.0	1120.0
Cardiovascular System	Heart	3980.0	1120.0
Cardiovascular System	Vascular	1130.0	945.0
Nervous System	Nervous System	3760.0	1120.0
Musculoskeletal System	Skeletal Muscle	3590.0	1120.0
Musculoskeletal System	Joint	1410.0	945.0
Digestive System	Colon	3550.0	1120.0
Digestive System	Tongue	2730.0	1120.0
Digestive System	Pancreas	2170.0	1120.0
Digestive System	Liver	2050.0	1120.0
Digestive System	Stomach	1590.0	1120.0
Digestive System	Salivary gland	1340.0	1120.0
Digestive System	Small intestine	1310.0	1120.0
Digestive System	Peritoneum	997.0	945.0
Digestive System	Esophagus	855.0	945.0
Endocrine System	Adrenal gland	2680.0	1120.0
Endocrine System	Thyroid gland	1860.0	1120.0
Endocrine System	Adipose tissue	1120.0	1120.0
Endocrine System	Pituitary gland	1020.0	1120.0
Olfactory System	Nervous System	2630.0	1120.0
Urogenital System	Testes	2580.0	1120.0
Urogenital System	Kidney	2110.0	1120.0
Urogenital System	Uterus	1990.0	1120.0
Urogenital System	Placenta	1530.0	1120.0
Urogenital System	Bladder	1300.0	1120.0
Urogenital System	Vagina	1170.0	945.0
Urogenital System	Ovary	1100.0	1120.0
Urogenital System	Penis	1010.0	945.0
Urogenital System	Prostate gland	667.0	1120.0
Urogenital System	Urethra	582.0	945.0
Respiratory System	Lung	2070.0	1120.0
Integumentary System	Skin	1140.0	1120.0
Exocrine System	Mammary gland	1050.0	945.0
Visual System	Eye	984.0	1120.0
