system	organ	exp	control
Immune System	Immune System	3070.0	142.0
Digestive System	Colon	1290.0	142.0
Digestive System	Stomach	200.0	142.0
Digestive System	Small intestine	174.0	142.0
Digestive System	Peritoneum	155.0	118.0
Digestive System	Salivary gland	149.0	142.0
Digestive System	Pancreas	149.0	142.0
Digestive System	Liver	146.0	142.0
Digestive System	Tongue	140.0	142.0
Digestive System	Esophagus	135.0	142.0
Nervous System	Nervous System	648.0	142.0
Musculoskeletal System	Joint	340.0	142.0
Musculoskeletal System	Skeletal Muscle	154.0	142.0
Urogenital System	Urethra	199.0	118.0
Urogenital System	Uterus	156.0	142.0
Urogenital System	Kidney	151.0	142.0
Urogenital System	Vagina	144.0	142.0
Urogenital System	Bladder	143.0	142.0
Urogenital System	Placenta	143.0	142.0
Urogenital System	Penis	143.0	142.0
Urogenital System	Ovary	139.0	142.0
Urogenital System	Prostate gland	131.0	142.0
Urogenital System	Testes	131.0	142.0
Cardiovascular System	Heart	165.0	142.0
Cardiovascular System	Vascular	147.0	142.0
Exocrine System	Mammary gland	147.0	142.0
Endocrine System	Adipose tissue	145.0	142.0
Endocrine System	Pituitary gland	143.0	142.0
Endocrine System	Thyroid gland	142.0	142.0
Endocrine System	Adrenal gland	138.0	142.0
Respiratory System	Lung	143.0	142.0
Integumentary System	Skin	136.0	142.0
Olfactory System	Nervous System	124.0	118.0
Visual System	Eye	98.3	118.0
