system	organ	exp	control
Digestive System	Liver	6870.0	1420.0
Digestive System	Tongue	4590.0	1420.0
Digestive System	Colon	3650.0	1420.0
Digestive System	Pancreas	2960.0	1420.0
Digestive System	Salivary gland	2720.0	805.0
Digestive System	Small intestine	2640.0	805.0
Digestive System	Stomach	1680.0	1420.0
Digestive System	Peritoneum	1250.0	805.0
Digestive System	Esophagus	857.0	805.0
Immune System	Immune System	5920.0	1420.0
Musculoskeletal System	Skeletal Muscle	5880.0	1420.0
Musculoskeletal System	Joint	666.0	1420.0
Urogenital System	Testes	4750.0	1420.0
Urogenital System	Kidney	3290.0	1420.0
Urogenital System	Uterus	2600.0	1420.0
Urogenital System	Placenta	2120.0	1420.0
Urogenital System	Prostate gland	1780.0	805.0
Urogenital System	Bladder	1520.0	1420.0
Urogenital System	Ovary	1460.0	1420.0
Urogenital System	Vagina	985.0	1420.0
Urogenital System	Penis	741.0	1420.0
Urogenital System	Urethra	595.0	805.0
Nervous System	Nervous System	4680.0	1420.0
Cardiovascular System	Heart	4280.0	1420.0
Cardiovascular System	Vascular	1000.0	1420.0
Endocrine System	Thyroid gland	3970.0	1420.0
Endocrine System	Adrenal gland	3240.0	1420.0
Endocrine System	Pituitary gland	1630.0	1420.0
Endocrine System	Adipose tissue	882.0	1420.0
Olfactory System	Nervous System	2900.0	1420.0
Respiratory System	Lung	2600.0	1420.0
Exocrine System	Mammary gland	1690.0	805.0
Visual System	Eye	1220.0	1420.0
Integumentary System	Skin	1110.0	1420.0
