system	organ	exp	control
Digestive System	Liver	2850.0	1180.0
Digestive System	Salivary gland	1860.0	1180.0
Digestive System	Colon	1790.0	1180.0
Digestive System	Small intestine	1720.0	1180.0
Digestive System	Tongue	1530.0	1180.0
Digestive System	Stomach	1450.0	1180.0
Digestive System	Esophagus	1340.0	1180.0
Digestive System	Peritoneum	1320.0	1180.0
Digestive System	Pancreas	1110.0	1180.0
Nervous System	Nervous System	2270.0	1180.0
Immune System	Immune System	2160.0	1180.0
Cardiovascular System	Vascular	1900.0	1180.0
Cardiovascular System	Heart	1810.0	1180.0
Exocrine System	Mammary gland	1700.0	1180.0
Urogenital System	Uterus	1680.0	1180.0
Urogenital System	Vagina	1320.0	1180.0
Urogenital System	Kidney	1270.0	1180.0
Urogenital System	Penis	1250.0	1180.0
Urogenital System	Ovary	1200.0	1180.0
Urogenital System	Placenta	1130.0	1180.0
Urogenital System	Urethra	1070.0	1180.0
Urogenital System	Bladder	1010.0	1180.0
Urogenital System	Prostate gland	1000.0	1180.0
Urogenital System	Testes	967.0	1180.0
Respiratory System	Lung	1540.0	1180.0
Endocrine System	Adipose tissue	1460.0	1180.0
Endocrine System	Adrenal gland	1420.0	1180.0
Endocrine System	Thyroid gland	880.0	1180.0
Endocrine System	Pituitary gland	853.0	1180.0
Integumentary System	Skin	1350.0	1180.0
Musculoskeletal System	Joint	1180.0	1180.0
Musculoskeletal System	Skeletal Muscle	875.0	1180.0
Olfactory System	Nervous System	1120.0	1180.0
Visual System	Eye	941.0	1180.0
