system	organ	exp	control
Immune System	Immune System	3940.0	1010.0
Digestive System	Tongue	2840.0	1010.0
Digestive System	Liver	2300.0	1010.0
Digestive System	Colon	2110.0	1010.0
Digestive System	Pancreas	1780.0	1010.0
Digestive System	Stomach	1300.0	1010.0
Digestive System	Salivary gland	1290.0	1010.0
Digestive System	Small intestine	982.0	1010.0
Digestive System	Esophagus	493.0	1010.0
Digestive System	Peritoneum	402.0	1010.0
Nervous System	Nervous System	2800.0	1010.0
Musculoskeletal System	Skeletal Muscle	2760.0	1010.0
Musculoskeletal System	Joint	614.0	1010.0
Urogenital System	Testes	2010.0	1010.0
Urogenital System	Uterus	1910.0	1010.0
Urogenital System	Kidney	1880.0	1010.0
Urogenital System	Bladder	1420.0	1010.0
Urogenital System	Placenta	1350.0	1010.0
Urogenital System	Ovary	991.0	1010.0
Urogenital System	Vagina	830.0	1010.0
Urogenital System	Prostate gland	656.0	1010.0
Urogenital System	Penis	578.0	1010.0
Urogenital System	Urethra	464.0	1010.0
Endocrine System	Adrenal gland	2010.0	1010.0
Endocrine System	Thyroid gland	1890.0	1010.0
Endocrine System	Pituitary gland	929.0	1010.0
Endocrine System	Adipose tissue	816.0	1010.0
Respiratory System	Lung	1970.0	1010.0
Cardiovascular System	Heart	1950.0	1010.0
Cardiovascular System	Vascular	871.0	1010.0
Olfactory System	Nervous System	1880.0	1010.0
Visual System	Eye	1520.0	1010.0
Integumentary System	Skin	820.0	1010.0
Exocrine System	Mammary gland	717.0	1010.0
