system	organ	exp	control
Cardiovascular System	Heart	2050.0	717.0
Cardiovascular System	Vascular	947.0	717.0
Digestive System	Colon	1950.0	717.0
Digestive System	Small intestine	1420.0	717.0
Digestive System	Stomach	1300.0	717.0
Digestive System	Tongue	1240.0	717.0
Digestive System	Pancreas	961.0	717.0
Digestive System	Salivary gland	865.0	717.0
Digestive System	Liver	822.0	717.0
Digestive System	Peritoneum	628.0	717.0
Digestive System	Esophagus	579.0	717.0
Urogenital System	Uterus	1870.0	717.0
Urogenital System	Kidney	1190.0	717.0
Urogenital System	Testes	1180.0	717.0
Urogenital System	Vagina	868.0	717.0
Urogenital System	Bladder	815.0	717.0
Urogenital System	Placenta	740.0	717.0
Urogenital System	Ovary	565.0	717.0
Urogenital System	Prostate gland	458.0	717.0
Urogenital System	Urethra	408.0	717.0
Urogenital System	Penis	341.0	717.0
Nervous System	Nervous System	1820.0	717.0
Immune System	Immune System	1820.0	717.0
Musculoskeletal System	Skeletal Muscle	1770.0	717.0
Musculoskeletal System	Joint	451.0	717.0
Endocrine System	Adrenal gland	1420.0	717.0
Endocrine System	Thyroid gland	1040.0	717.0
Endocrine System	Adipose tissue	643.0	717.0
Endocrine System	Pituitary gland	608.0	717.0
Olfactory System	Nervous System	1310.0	717.0
Exocrine System	Mammary gland	927.0	717.0
Respiratory System	Lung	791.0	717.0
Integumentary System	Skin	605.0	717.0
Visual System	Eye	303.0	717.0
