system	organ	exp	control
Urogenital System	Placenta	8510.0	1520.0
Urogenital System	Uterus	3350.0	1520.0
Urogenital System	Urethra	2650.0	1520.0
Urogenital System	Kidney	2270.0	1520.0
Urogenital System	Bladder	2230.0	1520.0
Urogenital System	Vagina	2130.0	1520.0
Urogenital System	Penis	2090.0	1520.0
Urogenital System	Prostate gland	2010.0	1520.0
Urogenital System	Ovary	1780.0	1520.0
Urogenital System	Testes	1160.0	1520.0
Cardiovascular System	Vascular	6960.0	1520.0
Cardiovascular System	Heart	2590.0	1520.0
Musculoskeletal System	Joint	5040.0	1520.0
Musculoskeletal System	Skeletal Muscle	1290.0	1520.0
Nervous System	Nervous System	4270.0	1520.0
Digestive System	Small intestine	4140.0	1520.0
Digestive System	Stomach	2500.0	1520.0
Digestive System	Peritoneum	1970.0	1520.0
Digestive System	Tongue	1470.0	1520.0
Digestive System	Esophagus	1420.0	1520.0
Digestive System	Colon	1170.0	1520.0
Digestive System	Liver	1120.0	1520.0
Digestive System	Salivary gland	1080.0	1520.0
Digestive System	Pancreas	877.0	1520.0
Exocrine System	Mammary gland	2900.0	1520.0
Immune System	Immune System	2280.0	1520.0
Respiratory System	Lung	2120.0	1520.0
Endocrine System	Pituitary gland	2080.0	1520.0
Endocrine System	Adipose tissue	1790.0	1520.0
Endocrine System	Thyroid gland	1340.0	1520.0
Endocrine System	Adrenal gland	966.0	1520.0
Integumentary System	Skin	1840.0	1520.0
Visual System	Eye	295.0	175.0
Olfactory System	Nervous System	286.0	175.0
