system	organ	exp	control
Endocrine System	Thyroid gland	8420.0	130.0
Endocrine System	Adrenal gland	407.0	305.0
Endocrine System	Adipose tissue	376.0	305.0
Endocrine System	Pituitary gland	316.0	305.0
Musculoskeletal System	Skeletal Muscle	1380.0	305.0
Musculoskeletal System	Joint	238.0	305.0
Digestive System	Liver	796.0	305.0
Digestive System	Colon	482.0	305.0
Digestive System	Salivary gland	471.0	305.0
Digestive System	Stomach	408.0	305.0
Digestive System	Small intestine	316.0	305.0
Digestive System	Peritoneum	313.0	305.0
Digestive System	Tongue	307.0	305.0
Digestive System	Pancreas	269.0	305.0
Digestive System	Esophagus	229.0	305.0
Immune System	Immune System	667.0	305.0
Urogenital System	Kidney	453.0	305.0
Urogenital System	Uterus	327.0	305.0
Urogenital System	Ovary	307.0	305.0
Urogenital System	Vagina	300.0	305.0
Urogenital System	Prostate gland	287.0	305.0
Urogenital System	Placenta	287.0	305.0
Urogenital System	Testes	239.0	305.0
Urogenital System	Penis	235.0	305.0
Urogenital System	Urethra	200.0	305.0
Urogenital System	Bladder	180.0	305.0
Cardiovascular System	Heart	444.0	305.0
Cardiovascular System	Vascular	418.0	305.0
Nervous System	Nervous System	402.0	305.0
Exocrine System	Mammary gland	378.0	305.0
Respiratory System	Lung	298.0	305.0
Integumentary System	Skin	226.0	305.0
Olfactory System	Nervous System	154.0	130.0
Visual System	Eye	133.0	120.0
