system	organ	exp	control
Cardiovascular System	Vascular	985.0	522.0
Cardiovascular System	Heart	527.0	522.0
Digestive System	Pancreas	850.0	522.0
Digestive System	Colon	717.0	522.0
Digestive System	Liver	588.0	522.0
Digestive System	Tongue	551.0	522.0
Digestive System	Stomach	550.0	522.0
Digestive System	Peritoneum	534.0	522.0
Digestive System	Salivary gland	528.0	522.0
Digestive System	Small intestine	508.0	522.0
Digestive System	Esophagus	462.0	522.0
Immune System	Immune System	837.0	522.0
Nervous System	Nervous System	724.0	522.0
Musculoskeletal System	Skeletal Muscle	724.0	522.0
Musculoskeletal System	Joint	493.0	522.0
Endocrine System	Pituitary gland	687.0	522.0
Endocrine System	Thyroid gland	565.0	522.0
Endocrine System	Adipose tissue	553.0	522.0
Endocrine System	Adrenal gland	546.0	522.0
Urogenital System	Vagina	670.0	522.0
Urogenital System	Kidney	666.0	522.0
Urogenital System	Uterus	611.0	522.0
Urogenital System	Ovary	549.0	522.0
Urogenital System	Placenta	517.0	522.0
Urogenital System	Testes	475.0	522.0
Urogenital System	Prostate gland	443.0	522.0
Urogenital System	Urethra	427.0	522.0
Urogenital System	Penis	423.0	522.0
Urogenital System	Bladder	298.0	522.0
Exocrine System	Mammary gland	558.0	522.0
Respiratory System	Lung	556.0	522.0
Integumentary System	Skin	330.0	522.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
