Assays	gene	type mapping	system	organ
ACEA_ER_80hr	ESR1	gene target	NA	NA
ACEA_ER_AUC_viability	NA	viability	Immune System	Immune System
ACEA_ER_AUC_viability	NA	viability	Digestive System	Liver
ACEA_ER_AUC_viability	NA	viability	Respiratory System	Lung
ACEA_ER_AUC_viability	NA	viability	Digestive System	Stomach
APR_HepG2_CellCycleArrest_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_CellCycleArrest_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_CellLoss_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_CellLoss_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MicrotubuleCSK_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MicrotubuleCSK_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMass_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMass_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMembPot_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMembPot_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoticArrest_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoticArrest_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_NuclearSize_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_NuclearSize_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_OxidativeStress_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_OxidativeStress_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_p53Act_1h_dn	NA	viability	Immune System	Immune System
APR_HepG2_p53Act_1h_dn	NA	viability	Digestive System	Liver
APR_HepG2_p53Act_1h_dn	NA	viability	Respiratory System	Lung
APR_HepG2_p53Act_1h_dn	NA	viability	Digestive System	Stomach
APR_HepG2_p53Act_1h_up	NA	viability	Immune System	Immune System
APR_HepG2_p53Act_1h_up	NA	viability	Digestive System	Liver
APR_HepG2_p53Act_1h_up	NA	viability	Respiratory System	Lung
APR_HepG2_p53Act_1h_up	NA	viability	Digestive System	Stomach
APR_HepG2_StressKinase_1h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_StressKinase_1h_up	NA	tissue	Digestive System	Liver
APR_HepG2_CellCycleArrest_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_CellCycleArrest_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_CellLoss_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_CellLoss_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MicrotubuleCSK_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MicrotubuleCSK_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMass_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMass_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMembPot_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoMembPot_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_MitoticArrest_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_MitoticArrest_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_NuclearSize_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_NuclearSize_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_OxidativeStress_24h_dn	NA	tissue	Digestive System	Liver
APR_HepG2_OxidativeStress_24h_up	NA	tissue	Digestive System	Liver
APR_HepG2_p53Act_24h_dn	NA	viability	Immune System	Immune System
APR_HepG2_p53Act_24h_dn	NA	viability	Digestive System	Liver
APR_HepG2_p53Act_24h_dn	NA	viability	Respiratory System	Lung
APR_HepG2_p53Act_24h_dn	NA	viability	Digestive System	Stomach
APR_HepG2_p53Act_24h_up	NA	viability	Immune System	Immune System
APR_HepG2_p53Act_24h_up	NA	viability	Digestive System	Liver
APR_HepG2_p53Act_24h_up	NA	viability	Respiratory System	Lung
APR_HepG2_p53Act_24h_up	NA	viability	Digestive System	Stomach
