"","nH","SCount","NCount","FractionCSP3","MolLogP","UI","AWeightHeavyAtom","qed","BalabanJ","petitjean","Arto","mChi1","Chiv6ch","HallKierAlpha","bcutm1","bcutm3","bcutm9","bcutp1","IC0","Cfrag16","Cfrag24","SEStatefrag9","SEStatefrag12","SEStatefrag16","SEStatefrag24","MinEStateIndex","MinAbsEStateIndex","EStateVSA2","EStateVSA4","EStateVSA8","EStateVSA9","MATSm1","MATSm2","MATSm3","MATSm4","MATSm5","MATSm6","MATSm7","MATSm8","MATSe5","MATSe6","MATSe7","MATSe8","GATSm1","GATSm2","GATSm3","GATSm4","GATSe1","GATSe3","GATSe4","GATSe5","GATSe6","GATSe7","GATSe8","Rnc","Mnc","QOss","QHss","QCmin","QHmin","QOmax","QHmax","MaxAbsPartialCharge","SlogP_VSA1","SlogP_VSA3","SlogP_VSA5","SlogP_VSA12","SMR_VSA3","SMR_VSA5","SMR_VSA6","SMR_VSA10","PEOE_VSA1","PEOE_VSA3","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","PEOE_VSA10","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState6","VSA_EState8","VSA_EState9","Hato","bcutv1","bcutv2","bcutv9","SIC0","Cfrag7","Cfrag53","MaxEStateIndex","MBAm5","MBAm6","MBAm7","MBAm8","MATSv1","MATSv3","MATSv4","MATSv5","MATSv6","MATSv7","MATSv8","MATSe4","GATSm5","GATSm6","GATSm7","GATSm8","GATSv1","GATSv3","GATSv4","GATSv5","GATSv7","LDI","Qmax","FpDensityMorgan1","OCount","ArBoundCount","Chi6ch","CIC6","MATSv2","SPP","QNss","NumRotatableBonds","IC1","bcutm10","HalCount","CCount"
"nH",-0.139736043946541,-0.0426820082233163,0.0123367337443739,-0.110792520495568,0.156059697218205,-0.137028592139676,-0.103959490452665,0.0745468105415753,0.091281333628795,-0.0341151737342869,-0.0403526608242384,0.0265316752370881,-0.0467078018156585,0.00507766085115566,-0.0131643076403786,0.0078631472066598,0.0819568759576736,-0.0225524467304783,0.0298403571070856,-0.0282393504358001,-0.021377645918109,0.0293720952851729,-0.0374238266434491,-0.0369378363023381,-0.0221107975454188,0.0143608746612491,0.0737465001446986,-0.0569791560252458,0.0393695681591368,-0.0275525276389524,-0.0229377230413954,0.0297187264161061,-0.034421085360334,0.0670460706490882,0.0180656599162153,0.0227142289143025,-0.016129970085967,-0.0253310894151532,-0.0107989671546628,0.0492151640251764,-0.0405856738077844,-0.00517990846089116,0.00227448539273762,-0.00940157987623293,0.00690918528939734,-0.00846206299993254,-0.0487606799556997,-0.01922407907578,0.0660146669435228,-0.0363621273569059,0.0302558051380738,-0.00618197924874848,0.012091939382233,-0.0407423698147378,0.0453881238264599,-0.012740471764476,-0.0239802770944642,0.014410961372457,0.068831980354614,0.0222689551875072,0.036669182784577,-0.0105825266076375,-0.0306621274761827,-0.025774085054904,0.0468056006361953,0.0512859652659848,-0.0525661258118689,0.0340793649974655,-0.0636763685267196,0.0552075158104231,-0.0210374991873729,0.0628010138493889,-0.0607883600597285,0.0651500040139456,-0.0994979287947491,0.069406675594769,-0.0844801354736599,0.0519339207034502,0.0357253750657898,-0.0476194022062198,0.0182075200762807,0.00286438287209815,-0.029020802298901,0.0621119252398433,-0.0195215870855701,0.00933116418268782,-0.0275897892443301,0.0161778962479447,-0.0319059816094463,0.0554763755687367,-0.0988181913173049,0.0510064779011215,0.0068598781198819,0.0292895665076693,-0.044432160719897,0.0956338269847183,-0.130828768546854,0.0224494126207472,-0.0197735597585792,-0.115847760805248,0.00151918138061721,-0.0947036623176127,0.02068744985375,0.111383129380996,0.0482646042095147,-0.10239337508265,0.0654000987475279,0.0233785727716112,-0.00816089598684219,-0.0410844142689289,0.0205024068227028,0.0949787810090928,0.00848376977171592,0.0141222743556971,0.102938134286046,0.102674241162587,0.0478424764430143,-0.00236283891041921,0.00688001744844187,0.135909422621392,-0.220082770736434,0.420906216208517,-0.135731815596644,0.17859605612761,0.0962615977913837,0.0989051388608211,0.105690202086123,-0.0576501933910213,-0.12864997665724,0.0535335279417898,0.536251393326954
"SCount",-0.036049218526691,-0.0300461117966426,-0.100077566361949,0.036239662362635,-0.0388092722896218,-0.18303021057146,0.238084464306228,0.127301036082271,0.0599016549757624,-0.0590138302676114,0.0317639084767763,-0.00773554369011756,0.00425112505726914,-0.0145169882215978,0.0588083384803382,-0.107350824376572,-0.136182016850406,-0.00851774993833394,-0.0222564907221256,-0.0910185469221454,0.0141930948396476,0.0908360876780415,-0.00599033690648361,-0.0561183894277666,0.0283769527023912,-0.0743241561307738,-0.0982706237975808,0.0824535994960676,0.0718508502423298,0.102246205086303,-0.138359496677425,-0.0309933287870368,-0.121961258141907,0.0584116507551413,0.20323055465722,-0.0633910101945258,0.140903007485456,0.145788233905991,-0.129654531521813,0.016992839263026,-0.0258965282506245,0.0541559352225166,0.160068259217881,0.0875884011072931,0.131050583541777,0.0953677312136588,0.0324957983373761,0.0553094148753871,-0.0402072762605749,-0.0528322270456305,0.0407683058616882,-0.124528987537891,0.111748528821456,0.143324671648399,0.0888387612677958,0.026406785002133,0.151431735403022,0.102336875951963,0.041086598986513,0.0809293831950736,-0.0368268882887386,-0.027061781010588,-0.0127031580924479,0.00317430850666394,0.113125599936107,0.0318165431325415,-0.0278940372481148,-0.0658125746522528,0.0691100787411179,0.0747103184874627,0.200747304476362,-0.122317405155799,0.0323446646019162,0.160656714744967,-0.0686574389428987,-0.00936900733154074,0.277000162445034,0.168696380370822,-0.128361549032336,0.0688621871510539,0.206505993923445,-0.0222079606598304,0.0215006907894248,0.0823158055331516,-0.0699132325576561,-0.00564273679754905,0.0734955148917469,-0.0542482303310351,-0.0172164409127585,-0.114490892123367,-0.153730728868011,-0.0443770446474479,-0.0683657204959242,-0.0121476673264567,0.179715787310569,0.0437742493373566,0.0671840411888653,0.0565384107533016,-0.102799229178623,-0.0517644411971959,-0.130658349438755,0.0681596880341009,0.0834219293941022,0.0263613801681412,-0.0541569879612733,-0.0533253374809896,0.0648596671134758,-0.0710008417266864,0.00243615760602694,0.00872807216407805,0.0404523262170551,0.0531566147737305,0.0376570585961474,-0.00384818520028406,0.00604229517562744,-0.000305853537828613,0.0188080603755098,-0.00421066423509449,-0.0273004955727591,0.00673808170494811,0.0567326452895083,-0.0110371341628685,-0.0115508590309214,-0.0120596518266712,0.00342561333547957,0.00872195236324405,0.0237793738770241,0.00520946564985823,0.00966126714478594,0.00614372593924537,0.0155049487200951
"NCount",-0.0805010742427791,0.0299547390601839,-0.102475807929375,-0.0301544089695208,-0.0416394356357341,-0.0217758676672882,0.0253505575116304,-0.0999152354911187,-0.169045988867085,-0.297466970203175,-0.0497423627716243,0.047460584515404,-0.0325073331901356,-0.0893182019210171,-0.00596289974081443,0.0591513955543361,0.0349203528188362,-0.118031126134997,0.040346595832004,0.12615890749075,0.129943566289469,0.0625802942549748,-0.134136917284824,-0.0424064823437224,0.0410185196418519,-0.0264030649318978,0.0315817225011166,-0.0715087256317821,-0.200182882443589,0.0493217944134905,0.0419114685002203,0.0391590162732205,-0.0677289585449605,-0.00529896877097791,-0.00430001048600487,-0.0511771030607717,-0.0277331017669735,0.0518143904539643,0.0372416394673171,-0.0039414649085478,-0.0906382041445032,0.0986515896298155,-0.056619036539451,-0.0142509167373586,0.0269720911246125,0.093245436626397,-0.0516765909100376,0.00377983981005579,-0.0565746563599619,0.028568810699494,0.0276579868513886,0.268769923800466,-0.0269736856115434,-0.0159408310494536,0.108598620956475,0.00613857358712311,-0.00743258392339629,-0.103984465243276,-0.0562196362185296,-0.0298743674391153,-0.0355886930962492,-0.105346772576432,0.0587965986631721,-0.035851230536512,-0.0319351422912922,0.0333866891950602,0.0535828936867007,0.035983652032797,0.0401908877740198,0.00143248641551525,-0.0432784412570162,0.088889383927485,0.160634251228812,-0.156399953067444,0.00719940780742302,-0.122076620518619,0.0973609966181511,0.135181951538685,0.122835855516858,-0.101320477462188,0.311319833459976,-0.0364832427554857,0.162659256506137,-0.0190032506534461,-0.0500147068524437,0.00952257444946023,-0.210731280497095,0.0527812710140079,-0.0290208504421826,0.0917442123267436,-0.0426523404085874,0.147496172122049,-0.115151684967801,-0.110713848545519,0.0291713653159203,-0.227259647832177,-0.0429591494074237,0.0316521633949864,-0.0255783090751141,-0.0537543899137524,-0.0220157821466941,0.0839885905658307,-0.0484842977401697,0.028122105645792,-0.0813841759611365,0.0582135643024423,-0.183418614269449,-0.100788795247213,0.0233084719485704,-0.0790432380374216,-0.00287192241029233,0.0388060532842574,0.0635812113569728,0.0281427658526764,0.0127882515958755,-0.000445834615596168,0.0496141647478111,0.0329546908726362,-0.0353704989400115,0.0231592802739506,-0.0155379904516928,0.0950715027200159,0.0662325115803068,-0.0591507402599079,0.0180528505292046,-0.0032167992676239,0.0192866967023074,-0.0557086525091629,-0.0610590153259244,0.0448956805861936,-0.0323273358760926
"FractionCSP3",0.0995280833377682,-0.119328767262254,0.0237952517898948,0.0449185894156886,0.175820505178195,-0.0857272279532935,-0.0147336798457224,0.0774322282669031,-0.00830871137526404,-0.074257731846073,-0.102687500768818,-0.0308052124324388,-0.0169560029803314,-0.0953623326913464,-0.0228765251702825,-0.00150334303555348,0.0700416087309958,-0.00438665398134459,0.0681285721034952,-0.0648244325361407,-0.0566644149161806,-0.104431711255452,-0.0410066654390462,0.01117653629058,0.0486378518137012,-0.0125494798899361,0.0822293864727126,-0.0846598652727733,0.0544552788993455,-0.131204804575746,-0.115034595394542,-0.00454765655730188,0.0114023289868307,-0.042464784826129,0.105753588841167,0.0490627829583663,-0.0949323755166651,-0.0541307773004502,0.143940680415684,0.152320325047163,-0.0920913778434887,-0.015659963370697,0.068436398222933,-0.0445639367668801,0.108966160632981,0.0373959586067976,-0.00528793444969668,0.0316197046604925,-0.0738804839633061,0.0118884422920302,0.0824541692461359,-0.0183137483535228,0.0327184698454743,0.010346006610052,0.0532921199506243,0.00654651789372375,0.067370763401378,0.0674775706764415,0.119644759204133,0.0474871480022474,-0.0836967819444159,0.0848628138235532,-0.0612131301253896,0.0411951076768419,-0.0906146741903114,-0.0591017582058254,0.161746275214577,-0.0393570186549326,-0.0533390295317599,0.0273525166404088,0.0488486947554813,0.0780606867453193,-0.0865888464726864,-0.123030521649113,0.183210424091309,-0.217596165062123,0.062979606647045,-0.134547079944636,0.00528341134946146,-0.0218424557226995,0.155577099370292,0.0656770537363697,0.112895496461077,0.053234939189589,-0.0395772733697721,-0.149610710995378,0.00527847291467933,-0.0521612560462647,-0.0351094807810873,-0.0635250197661178,-0.123179529374533,-0.138887044257874,-0.00749220857292545,0.0706502188669448,0.0919192840077438,-0.103059676882883,0.143056080025201,-0.0888782302762609,0.278695188459783,0.0899260105620321,0.129561442319895,-0.154125089120574,-0.24530825702389,0.0269206683265121,0.0545077853489509,-0.043935101724364,0.130248015677361,0.0418843775571775,0.0310624486665798,-0.00833818205130021,0.0236954477884792,0.138064831551923,-0.087544598270114,0.00771794155691597,-0.0725702057513476,0.0318150082279682,-0.178386205386125,-0.066517178432431,0.0989137259891312,0.0607244079010685,-0.0493520074817266,-0.0559882722576093,0.0677104713543258,0.020221109839887,-0.0439375504395893,-0.0405984949495158,-0.0554561642175366,-0.0763249266894958,-0.00699872150843141,0.0089199440247793,0.00751268430558296
"MolLogP",-0.0721310624858316,-0.187781112776593,0.131269799330185,-0.0204462122730936,0.00584177465176016,0.00855946174283392,-0.0555758510739875,0.00872122871154355,-0.00238238363898727,0.0232704300405973,0.0550606532057414,0.026084596234315,0.072801206869437,0.0381798201929059,0.00561744178773668,0.0222035819558552,0.0813162822980384,0.0188911617937859,-0.128317378070834,0.0146895264735084,0.169899140235994,-0.0296446217316984,-0.000643408682064223,-0.0590995176751086,-0.0395416932932316,0.0177270596374102,-0.0645420931931685,0.0172832350558429,0.0625390359897678,-0.0397279683713372,0.0360450957897015,0.0279515776875995,0.00208026080203555,-0.0450715206303976,-0.0404017717885501,0.00478129991762831,0.0944087975023968,0.0727619790622227,-0.0956117751142715,0.0252971689791022,-0.066115095591731,-0.00500184046379885,-0.0217587691224475,0.0313584108371323,0.0258291856121076,-0.0344662797507588,0.0154390504235576,-0.0736681978694184,0.0633806526126165,0.0438176690145333,-0.0238560684739489,0.0479957748091573,-0.0487062757375415,-0.0296046162271367,0.0305801121982025,0.0435070454348638,0.0412262705962075,-0.0135356646333847,-0.0593838219141461,0.0276734266616023,0.0817208098567883,-0.0180159731583435,-0.046659523535755,0.0469150324328274,0.026112812874229,-0.0612438347501083,0.0078145607285926,-0.00943956660916928,0.071133806370066,0.030778223647563,-0.00864685186895161,0.047872650907546,0.035324855016323,-0.0133514543389791,0.0184916467886383,-0.00973887118923496,0.049160862234244,-0.0412213591286086,0.00884183285240555,0.0451834667188023,0.061845214554869,-0.0263985854277415,0.0135212783492518,0.004969457801636,-0.0424002446459019,0.0232383601047068,-0.0295817622593057,0.0358472712456673,-0.0242319976083832,-0.0187649163058382,0.00408549290884356,-0.0285425054360047,-0.0697533070453485,-0.0107585180694903,0.0692650431272912,0.0585174426644937,0.0819682153160106,0.0848886076919215,-0.0274334153584493,0.0689435063760821,0.0482296878001632,-0.0380642648304755,-0.0581462373467759,-0.0655648753465116,0.011787422495243,0.0447004969942355,-0.000345534254409713,0.0707044968741052,-0.0513959456802568,0.118771659641816,-0.0365683889419949,-0.0131310701897568,-0.101945933239791,-0.00146304915432812,-0.03519818715015,-0.0600345367911822,0.123687261998723,0.0260430875071137,0.0280910254839281,0.0373849582343865,0.0102055650200602,0.147619858840008,-0.195249689066558,0.198447469192379,-0.0616581953985365,-0.654424842040404,0.24234858931405,-0.131767502255088,-0.0294690622743848,-0.165844683861986,-0.10907094346089
"UI",-0.133363604185108,0.0553169898917085,-0.0917015135320481,-0.0380613408732335,-0.172154321818811,0.0323308333114817,0.0937830074680912,-0.0277956985272667,0.010810700999324,0.0263978417237313,0.112124568877046,0.0263015153211998,0.0267454884479092,0.0771905488500833,0.0366537397193593,-0.0194617233894215,-0.0737857225848804,-0.0412933321068034,-0.0552794297113294,0.0341171842463774,0.0953375914206837,0.0552651294386545,0.0336753172044913,-0.0157845955399677,-0.00193917489824994,-0.0223233561997238,-0.0258846662966282,0.0805406852066741,-0.0845918104062995,0.135128638115388,0.0351231403673188,0.00423623071824785,-0.000434821331134723,0.0460246197167745,-0.0628184077638475,-0.0886703193316474,0.069481002850337,0.00943343507132683,-0.050914723886087,-0.104492113731503,0.0311418750689381,0.0748204820293935,-0.042053669833673,-0.0354365305394196,-0.0775755091529773,0.0031248313740569,0.00901078173457734,-0.0138509131642914,0.0337031746150236,-0.0970271264352626,-0.0864652563245384,-0.00367231754417649,0.0217344299349355,-0.0051595366914736,-0.0456254670028009,-0.00778040859012533,-0.0209557423226025,-0.0897396024266774,-0.117554053626933,0.0141547367176244,-0.0116123504187058,-0.0744517822298816,0.0610781579887211,-0.0525695070827994,-0.00539231810242147,-0.022474757015006,0.0200436542023619,-0.0618454877127069,0.0218385642839621,0.0826977408324361,-0.00903877530109213,0.0425260732691425,-0.00056237568002263,0.140929397013375,-0.0564215815212336,0.080082082505392,-0.11722472492352,0.0092978954575783,-0.0603824304997952,0.0292000130345413,0.0438753423690279,0.0747331578242467,-0.0719274087388395,0.172833461217862,-0.0580495189998377,-0.151368341002517,-0.0152496696421365,0.157391014150278,-0.063997143968925,0.0478680046194538,0.087972919431292,0.0727958409528669,-0.0378262337368023,0.0302329561691621,-0.0200763073213142,-0.0590756780939575,-0.00812859118195899,-0.166800139838906,0.29824158981525,-0.211512047918578,0.0409899337493952,-0.0919176053240763,-0.318810007264848,0.175683730192665,0.119265909404533,-0.0546405269325619,0.309692422720473,-0.0130455415230318,0.0143161943854094,-0.0124880599854453,0.190864641061185,0.0946005239120702,-0.235897536923961,0.00473966677187183,-0.101429925903081,0.0257607598415334,-0.00301038925805096,0.103184310521665,-0.0248474626059637,-0.0214332692834307,0.054643227695381,0.00253879013109632,0.0897090098497402,-0.0715708375108511,-0.0262814252267497,-0.0470111059231844,-0.0282292478468934,-0.0116994008807742,-0.0217909934226497,-0.0203183657043616,0.00253756341928564
"AWeightHeavyAtom",0.0789846820468907,-0.0128104528427592,0.1080710704099,0.138733214643465,-0.0124664051354011,-0.219937842473053,0.0533951769111955,-0.0933731036562101,-0.163390424161371,0.108997662021925,0.0227214453097661,-0.009807510168081,0.0454354831227027,-0.0188658930826032,0.0154678472212578,0.0107827347515806,-0.00739575520460388,0.0512111451461341,0.00639558312750697,-0.0409085993147408,-0.0415266574901005,0.0351837802159155,-0.0603040600989865,0.0316066119174767,0.0993544603362951,-0.169762908731371,-0.00788132694825153,-0.00222477588308666,-0.0898678338375689,-0.0211170122185155,-0.033813173975222,-0.00674835689152254,0.0233266277594652,-0.0478154059022116,-0.105622934396764,0.0530939251672171,0.0591712512495809,-0.0689628367524996,0.0625830399527784,-0.0659858391980293,0.00364417781114984,-0.0914895735866492,-0.158173614459872,-0.10068168307235,-0.0172516725078576,-0.0500411475832326,0.0243668578569741,-0.0447224777795117,0.00529871882489147,-0.0287048418892635,0.0261322452647086,-0.0278788110301236,-0.0403004469694543,-0.117557878585534,0.0481154643917264,-0.0143677672192711,0.0711669929381619,-0.0973744836115969,-0.0503309983978252,0.184249882492731,-0.00385266266644107,0.218181405367928,-0.039089322672558,0.0553076377879074,-0.0537725504068703,0.00247668042157392,0.00590223710409692,0.101675487344521,-0.0262950244523978,0.10921454506875,0.0474995759503215,0.182672465403052,-0.0721320841827645,0.0124868281562401,-0.0920879698806278,-0.0588532541253848,0.00449409008753077,-0.0626547425265015,-0.0725863219398352,0.0728035738544045,0.0689654031210389,-0.0514744397941648,-0.0669267600803391,0.173676191617582,-0.0167662242605779,0.112247899196163,-0.0094045666188741,0.259936632119729,0.228234928425263,-0.186859350769767,0.0717932917872857,-0.216547205881621,-0.0737147909306847,-0.140614130400739,-0.0111503294631175,-0.18094848730224,-0.0899441754111059,0.106396575717783,-0.066274028277899,-0.0164278881229295,-0.167921946585195,-0.205244831859243,0.0842330967360288,0.0800124512672808,-0.0208493283427265,0.0554497246996727,-0.0147460436007184,-0.0650682504349461,0.0365364038773269,-0.0504501486900128,0.0519282725404833,0.0469604081228726,-0.00416103465074916,-0.0883687667772455,0.129069476594201,0.0720162159812804,0.0505177424036411,0.0371286427227727,-0.0331623983252813,-0.00164798536778852,0.0948087423505758,0.00531124259834109,-0.0528623132827227,0.0594450972922216,-0.0181810866022668,0.0273356707027222,-0.0576509007031718,0.0458250607553923,-0.00540035639715979,-0.0102818052091758,-0.00218178795946491
"qed",0.0611274240245186,0.18261144293806,-0.0492355201077346,0.014960390390345,-0.0793460385089498,0.0934790507631438,0.0183613229096262,0.0217303902205926,0.0562961068738934,-0.0428478941643472,-0.0720070611553879,-0.0229186826289384,0.000125337304233393,-0.0489405379047955,0.0475199679494568,-0.0662014941302803,0.0431523977582067,0.0115682309333443,0.0389652449020163,-0.00803051582792125,-0.0273288916462338,-0.0228432573420558,-0.0618116964179981,0.0430664351895278,-0.00108060800152792,-0.00876151390119171,0.0231279666563718,-0.0417877033726009,0.0601758270066245,-0.0513521704198377,-0.0553627590995066,-0.0096046046488068,-0.0203675352383889,0.0331334274804919,0.0591146983052683,-0.0360956724601558,0.010755919597477,-0.0113850231785469,-0.0501402534508371,0.0323042316968823,-0.127078105304982,-0.0527551237501442,0.174757032040263,-0.15421623733347,0.0234064768547415,-0.256121333321324,-0.0424342670750873,-0.0495820988588621,0.142582474510504,-0.174010701642585,-0.0757474561016793,-0.0979712255309786,-0.190192632528486,-0.00399132954485711,-0.0948800412461873,-0.343873546102339,-0.0599352024522643,0.108034174022636,-0.32691850727394,0.0706384929712116,0.138798771163207,-0.0888066275951513,-0.109080171695265,0.286647099553151,0.214366628373977,0.0952905241813001,0.0994607476160519,0.182204564648582,-0.141709372592336,-0.0166321223675326,-0.0847197955669519,-0.0823192583390148,0.0781688463661822,-0.154577132229102,0.125445507644381,0.017276875052422,0.0466432252464448,0.0892657262643114,0.06488836811457,-0.0246316207221795,0.0886961944161664,-0.0467031762157004,-0.0787783075015778,0.0474818339781134,0.0563520386952072,0.00158415145513713,0.015283890445862,0.0426057444335895,-0.0169063608708128,-0.0913825007583301,-0.0268312341899764,0.0631017626299537,-0.0127611410330605,-0.130759292086805,0.0527827219319362,0.023436922655926,0.0144958571511743,0.0250825359689368,0.0466613647050973,0.0666518691120712,-0.0515879812911793,-0.00595750253901043,-0.0378317871781315,0.00450417734186091,0.0457854084961503,0.000485193170702509,0.0290931544338229,0.00892509344132698,-0.0111362504404419,-0.000211583437498811,0.0268548250276992,0.0318191370753666,-0.0102587421092198,-0.0113886474190816,0.00807408571826476,-0.0228113161959169,0.029812514855218,0.00744361454666958,0.0176635524738004,0.017761574434658,-0.00819248999434261,-0.00132194442928874,0.00509523252887554,0.00910257654165627,0.000948646692565153,0.0172456940387901,0.00919779635048304,-0.00088831451034543,-0.0178529644054532,0.000293105399731255,-0.00213920981700612
"BalabanJ",0.0959048061431066,-0.142496988918509,-0.0136242163887341,0.113567815965955,0.115438355416685,0.0103563787941187,-0.0241702588833936,0.0514017537371334,-0.0498412768991697,-0.0123532174748694,0.0178995624922736,0.0316855797723059,-0.0918501226862723,-0.0196215582531079,0.0443233215506533,-0.144260997006293,-0.00131651741687267,0.0799555589336575,-0.0723178881166523,-0.00589865966057616,-0.0453801594100264,0.025148989273572,-0.00404576566855011,-0.0697124643576908,-0.0491443068004524,-0.021682909111647,0.136208350962919,0.0197776454817253,-0.0775071113619308,0.146378410794938,0.0294979036625325,0.083202084035229,-0.000953481561871115,-0.0458283242561391,-0.0399694982622853,0.00790806241814044,-0.0991932742138331,0.0895896094259086,-0.0251818425081155,-0.132531832415231,-0.0281215120721009,0.0138317853714794,-0.00184782409956307,-0.140092470044039,0.0805927241686722,0.0207486503545396,-0.0064195301375857,0.0853773080425599,-0.130552295918396,-0.0649321586726139,-0.00238119918657459,0.0392014633628845,-0.0697092756316609,0.0567928962011461,-0.141893588163865,-0.0322121983831523,-0.206883910204621,0.0384018986985971,0.0481888059516395,-0.139044656999226,0.0213929308609723,-0.14222440369157,-0.0179114937827598,0.116386918163693,0.0501763822007342,-0.00079848253778232,0.0621612264922349,0.0800291251087109,0.0280905856366805,-0.115664638004104,-0.278040329698932,-0.0709921939205161,-0.10101990298926,0.252608034969364,-0.280625289813799,-0.00278344525667768,0.0762656647688174,-0.12069177374954,0.094511072075897,0.323664130652286,0.0152551618745202,0.0769795401410433,0.0652943696055234,-0.203941339057185,-0.0846886021943374,0.0282952030920121,-0.0613873215610656,-0.0623125603802206,0.0902638969179276,-0.0955757248636924,-0.0678091801133336,-0.141404550654912,-0.0221219992648262,-0.104622645720518,0.0881873083671239,-0.0613636028442287,-0.0987333731409032,0.00347434569660511,0.00383019680700077,-0.0287935562791958,0.0573945240712943,0.00369004749750567,-0.12839320488664,-0.0659766371657543,-0.02655114547344,-0.0424497068121132,0.0262490999859269,-0.0841623316668111,0.044658553305955,0.0225866831330332,0.00151646290261176,0.00881237000031271,-0.000359969876863872,0.0162691105503421,0.00837668677003575,-0.0589585144224169,-0.023369297726914,-0.0342369018730287,-0.00213113063067908,0.049141392135423,0.0477274646698552,0.0962064260203865,0.0159192311275619,0.00981379774070876,-0.01020361698317,0.0196847022289997,-0.0391396303508538,-0.0288259797100164,0.013040946606551,-0.0488302555345069,-0.0135125632516645
"petitjean",-0.0594133909358349,-0.0469281610620022,-0.0191079107458841,0.0735939540712942,0.0509729058175805,0.0217960651509616,-0.0515684624859874,0.0371385515906679,0.0270572689548839,-0.0140104161459251,0.0807159100732177,-0.013880004854845,-0.0168666898147223,-0.0177593307541869,0.0968578911577273,-0.0872001677289239,0.0937769287209235,0.0985927481245356,-0.117292413647255,0.191789566645684,-0.0856294868068026,0.140410387521485,0.265642000109392,-0.0649232813702472,-0.0995454117896625,0.0658388388958206,-0.189796087077087,-0.0529826649931815,-0.536139378691122,-0.0951930180000462,-0.333646532005096,0.0106951788506221,0.107462718408388,0.0603809608937834,0.162842922870904,-0.116777059345522,0.0687367674862508,-0.255698764623397,-0.0802810726036609,0.175471487149279,-0.0156024924217776,-0.0915452855479012,0.00963348111598827,0.0235623331402916,-0.011891368767249,-0.21402874713372,-0.0237167700721261,0.0555550729000177,0.0344189677115812,0.123494143425991,0.112353837527452,-0.0168854474689261,0.0301907308460127,-0.00713927262821384,-0.0351719572487865,0.0429090876742126,0.0546642140434642,0.00842249726348853,-0.0579541650433308,0.017523766725275,-0.0190106351589496,-0.0217390241796613,-0.0432718530997409,0.0011772308151385,-0.0250572130008196,0.0747681935070264,0.0158095533029088,-0.0268416036815172,0.0630000421816756,-0.12505144614044,0.0135944299204593,0.0410946651753971,-0.0485788643821375,0.0337126990172389,-0.00476230858769116,-0.00821617093095734,-0.0161138561120112,0.0141999437352125,0.0144957608897194,-0.0302822009918886,0.008203570339019,0.0809189323604541,-0.0269524800461853,-0.0238185418857294,-0.0478663765599574,0.0414767621939277,-0.0353540871863709,-0.0295618932247044,-0.0289743783634291,-0.039832596260578,0.044877945755977,0.00198586527022145,-0.00834413949053696,0.0283405432962744,0.0100648154030457,-0.0125416498496296,-0.0338922563754224,0.000939770625688964,-0.0205029972642818,0.0140350138540132,0.0110975588352354,0.0163327319252717,-0.0178343956220439,0.0292043639331255,-0.0398351396924849,-0.0167820872464358,0.000710959376677396,0.00877337708261724,0.000920883420592526,-0.00159693075223464,0.00576737322585244,-0.0195819675278752,-0.0101214602634603,0.00569743098640518,0.00816957651525913,-0.0151486823583775,0.0101912715441884,-0.00429345728224401,0.00482591492988588,-0.00224047687814783,0.0061182177674216,-8.10558386912924e-05,0.00362858335568142,-0.00312716025936123,-0.00214280379890322,-0.000757459106624436,-0.00523284422545486,0.00258314727402648,-0.00350804080775796,-0.00483421197290074,0.00109372607962317
