system	organ	exp	control
Nervous System	Nervous System	1890.0	451.0
Musculoskeletal System	Skeletal Muscle	1840.0	451.0
Musculoskeletal System	Joint	378.0	451.0
Digestive System	Small intestine	1200.0	451.0
Digestive System	Tongue	960.0	451.0
Digestive System	Colon	640.0	451.0
Digestive System	Liver	631.0	451.0
Digestive System	Salivary gland	531.0	451.0
Digestive System	Pancreas	515.0	451.0
Digestive System	Esophagus	406.0	451.0
Digestive System	Stomach	360.0	451.0
Digestive System	Peritoneum	290.0	451.0
Immune System	Immune System	755.0	451.0
Cardiovascular System	Heart	734.0	451.0
Cardiovascular System	Vascular	387.0	451.0
Olfactory System	Nervous System	651.0	451.0
Urogenital System	Uterus	581.0	451.0
Urogenital System	Testes	580.0	451.0
Urogenital System	Kidney	470.0	451.0
Urogenital System	Placenta	455.0	451.0
Urogenital System	Ovary	439.0	451.0
Urogenital System	Bladder	363.0	451.0
Urogenital System	Vagina	335.0	451.0
Urogenital System	Prostate gland	332.0	451.0
Urogenital System	Urethra	294.0	451.0
Urogenital System	Penis	267.0	451.0
Endocrine System	Thyroid gland	568.0	451.0
Endocrine System	Adrenal gland	542.0	451.0
Endocrine System	Pituitary gland	489.0	451.0
Endocrine System	Adipose tissue	478.0	451.0
Respiratory System	Lung	539.0	451.0
Visual System	Eye	433.0	451.0
Exocrine System	Mammary gland	412.0	451.0
Integumentary System	Skin	378.0	451.0
