system	organ	exp	control
Nervous System	Nervous System	3830.0	373.0
Cardiovascular System	Heart	1820.0	373.0
Cardiovascular System	Vascular	1490.0	373.0
Endocrine System	Pituitary gland	685.0	373.0
Endocrine System	Adipose tissue	465.0	373.0
Endocrine System	Adrenal gland	313.0	373.0
Endocrine System	Thyroid gland	294.0	373.0
Urogenital System	Urethra	677.0	373.0
Urogenital System	Kidney	608.0	373.0
Urogenital System	Uterus	522.0	373.0
Urogenital System	Bladder	509.0	373.0
Urogenital System	Ovary	464.0	373.0
Urogenital System	Prostate gland	431.0	373.0
Urogenital System	Vagina	396.0	373.0
Urogenital System	Placenta	379.0	373.0
Urogenital System	Testes	353.0	373.0
Urogenital System	Penis	352.0	373.0
Digestive System	Stomach	636.0	373.0
Digestive System	Esophagus	565.0	373.0
Digestive System	Colon	547.0	373.0
Digestive System	Small intestine	479.0	373.0
Digestive System	Peritoneum	433.0	373.0
Digestive System	Salivary gland	396.0	373.0
Digestive System	Tongue	372.0	373.0
Digestive System	Pancreas	346.0	373.0
Digestive System	Liver	326.0	373.0
Exocrine System	Mammary gland	528.0	373.0
Immune System	Immune System	406.0	373.0
Musculoskeletal System	Joint	366.0	373.0
Musculoskeletal System	Skeletal Muscle	351.0	373.0
Respiratory System	Lung	355.0	373.0
Integumentary System	Skin	354.0	373.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
