system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	4590.0	378.0
Musculoskeletal System	Joint	307.0	378.0
Immune System	Immune System	3190.0	378.0
Digestive System	Colon	2820.0	378.0
Digestive System	Tongue	674.0	378.0
Digestive System	Liver	490.0	378.0
Digestive System	Esophagus	470.0	378.0
Digestive System	Pancreas	431.0	378.0
Digestive System	Small intestine	324.0	378.0
Digestive System	Stomach	324.0	378.0
Digestive System	Salivary gland	271.0	378.0
Digestive System	Peritoneum	125.0	378.0
Nervous System	Nervous System	1100.0	378.0
Urogenital System	Vagina	842.0	378.0
Urogenital System	Placenta	623.0	378.0
Urogenital System	Bladder	617.0	378.0
Urogenital System	Penis	588.0	378.0
Urogenital System	Uterus	567.0	378.0
Urogenital System	Testes	520.0	378.0
Urogenital System	Kidney	444.0	378.0
Urogenital System	Urethra	366.0	378.0
Urogenital System	Ovary	266.0	378.0
Urogenital System	Prostate gland	235.0	378.0
Visual System	Eye	708.0	378.0
Integumentary System	Skin	697.0	378.0
Cardiovascular System	Heart	616.0	378.0
Cardiovascular System	Vascular	238.0	378.0
Olfactory System	Nervous System	610.0	378.0
Exocrine System	Mammary gland	576.0	378.0
Endocrine System	Thyroid gland	553.0	378.0
Endocrine System	Adrenal gland	493.0	378.0
Endocrine System	Adipose tissue	391.0	378.0
Endocrine System	Pituitary gland	291.0	378.0
Respiratory System	Lung	542.0	378.0
