system	organ	exp	control
Digestive System	Colon	276.0	127.0
Digestive System	Salivary gland	198.0	127.0
Digestive System	Small intestine	148.0	127.0
Digestive System	Liver	147.0	127.0
Digestive System	Pancreas	129.0	127.0
Digestive System	Peritoneum	129.0	127.0
Digestive System	Stomach	125.0	127.0
Digestive System	Tongue	120.0	127.0
Digestive System	Esophagus	117.0	127.0
Immune System	Immune System	269.0	127.0
Nervous System	Nervous System	180.0	127.0
Endocrine System	Adrenal gland	148.0	127.0
Endocrine System	Adipose tissue	134.0	127.0
Endocrine System	Pituitary gland	131.0	127.0
Endocrine System	Thyroid gland	124.0	127.0
Musculoskeletal System	Skeletal Muscle	145.0	127.0
Musculoskeletal System	Joint	131.0	127.0
Respiratory System	Lung	140.0	127.0
Cardiovascular System	Vascular	136.0	127.0
Cardiovascular System	Heart	129.0	127.0
Urogenital System	Kidney	133.0	127.0
Urogenital System	Testes	133.0	127.0
Urogenital System	Uterus	129.0	127.0
Urogenital System	Prostate gland	127.0	127.0
Urogenital System	Bladder	127.0	127.0
Urogenital System	Penis	126.0	127.0
Urogenital System	Urethra	125.0	127.0
Urogenital System	Placenta	124.0	127.0
Urogenital System	Vagina	117.0	127.0
Urogenital System	Ovary	117.0	127.0
Olfactory System	Nervous System	124.0	127.0
Integumentary System	Skin	123.0	127.0
Exocrine System	Mammary gland	118.0	127.0
Visual System	Eye	109.0	127.0
