system	organ	exp	control
Endocrine System	Adipose tissue	2370.0	324.0
Endocrine System	Thyroid gland	401.0	324.0
Endocrine System	Adrenal gland	299.0	324.0
Endocrine System	Pituitary gland	210.0	324.0
Immune System	Immune System	1630.0	324.0
Exocrine System	Mammary gland	1600.0	324.0
Digestive System	Colon	1500.0	324.0
Digestive System	Small intestine	973.0	324.0
Digestive System	Stomach	674.0	324.0
Digestive System	Pancreas	433.0	324.0
Digestive System	Tongue	337.0	324.0
Digestive System	Esophagus	238.0	324.0
Digestive System	Liver	214.0	324.0
Digestive System	Peritoneum	197.0	324.0
Digestive System	Salivary gland	187.0	324.0
Urogenital System	Uterus	1190.0	324.0
Urogenital System	Ovary	761.0	324.0
Urogenital System	Vagina	760.0	324.0
Urogenital System	Penis	655.0	324.0
Urogenital System	Urethra	587.0	324.0
Urogenital System	Bladder	532.0	324.0
Urogenital System	Kidney	315.0	324.0
Urogenital System	Testes	288.0	324.0
Urogenital System	Placenta	262.0	324.0
Urogenital System	Prostate gland	252.0	324.0
Cardiovascular System	Heart	1110.0	324.0
Cardiovascular System	Vascular	421.0	324.0
Nervous System	Nervous System	1100.0	324.0
Integumentary System	Skin	691.0	324.0
Musculoskeletal System	Joint	662.0	324.0
Musculoskeletal System	Skeletal Muscle	190.0	324.0
Respiratory System	Lung	622.0	324.0
Visual System	Eye	316.0	324.0
Olfactory System	Nervous System	199.0	324.0
