system	organ	exp	control
Immune System	Immune System	1770.0	537.0
Digestive System	Colon	1530.0	537.0
Digestive System	Salivary gland	1120.0	537.0
Digestive System	Peritoneum	868.0	537.0
Digestive System	Small intestine	862.0	537.0
Digestive System	Tongue	713.0	537.0
Digestive System	Pancreas	606.0	537.0
Digestive System	Liver	486.0	537.0
Digestive System	Stomach	478.0	537.0
Digestive System	Esophagus	374.0	537.0
Exocrine System	Mammary gland	1450.0	537.0
Nervous System	Nervous System	1430.0	537.0
Cardiovascular System	Vascular	1320.0	537.0
Cardiovascular System	Heart	921.0	537.0
Urogenital System	Uterus	1190.0	537.0
Urogenital System	Kidney	714.0	537.0
Urogenital System	Vagina	704.0	537.0
Urogenital System	Bladder	662.0	537.0
Urogenital System	Testes	593.0	537.0
Urogenital System	Urethra	547.0	537.0
Urogenital System	Ovary	496.0	537.0
Urogenital System	Placenta	492.0	537.0
Urogenital System	Prostate gland	484.0	537.0
Urogenital System	Penis	471.0	537.0
Musculoskeletal System	Skeletal Muscle	1030.0	537.0
Musculoskeletal System	Joint	396.0	537.0
Olfactory System	Nervous System	596.0	537.0
Endocrine System	Adipose tissue	588.0	537.0
Endocrine System	Adrenal gland	577.0	537.0
Endocrine System	Thyroid gland	540.0	537.0
Endocrine System	Pituitary gland	460.0	537.0
Respiratory System	Lung	564.0	537.0
Visual System	Eye	415.0	537.0
Integumentary System	Skin	383.0	537.0
