system	organ	exp	control
Nervous System	Nervous System	2670.0	352.0
Digestive System	Colon	2000.0	352.0
Digestive System	Tongue	1240.0	352.0
Digestive System	Liver	608.0	352.0
Digestive System	Pancreas	554.0	352.0
Digestive System	Salivary gland	386.0	352.0
Digestive System	Peritoneum	327.0	352.0
Digestive System	Stomach	259.0	352.0
Digestive System	Small intestine	237.0	352.0
Digestive System	Esophagus	223.0	352.0
Cardiovascular System	Heart	1710.0	352.0
Cardiovascular System	Vascular	315.0	352.0
Musculoskeletal System	Skeletal Muscle	1230.0	352.0
Musculoskeletal System	Joint	241.0	352.0
Urogenital System	Testes	1200.0	352.0
Urogenital System	Uterus	740.0	352.0
Urogenital System	Kidney	652.0	352.0
Urogenital System	Bladder	553.0	352.0
Urogenital System	Placenta	517.0	352.0
Urogenital System	Ovary	384.0	352.0
Urogenital System	Prostate gland	299.0	352.0
Urogenital System	Vagina	248.0	352.0
Urogenital System	Penis	218.0	352.0
Urogenital System	Urethra	206.0	352.0
Endocrine System	Thyroid gland	1120.0	352.0
Endocrine System	Adrenal gland	727.0	352.0
Endocrine System	Pituitary gland	311.0	352.0
Endocrine System	Adipose tissue	232.0	352.0
Olfactory System	Nervous System	909.0	352.0
Immune System	Immune System	796.0	352.0
Respiratory System	Lung	667.0	352.0
Integumentary System	Skin	348.0	352.0
Visual System	Eye	323.0	352.0
Exocrine System	Mammary gland	254.0	352.0
