system	organ	exp	control
Nervous System	Nervous System	4840.0	1100.0
Cardiovascular System	Vascular	4080.0	1100.0
Cardiovascular System	Heart	1760.0	1100.0
Musculoskeletal System	Joint	3090.0	1050.0
Musculoskeletal System	Skeletal Muscle	1650.0	1100.0
Urogenital System	Uterus	2980.0	1100.0
Urogenital System	Urethra	2400.0	1050.0
Urogenital System	Ovary	2350.0	1050.0
Urogenital System	Vagina	1860.0	1100.0
Urogenital System	Prostate gland	1850.0	1100.0
Urogenital System	Bladder	1580.0	1100.0
Urogenital System	Kidney	1390.0	1100.0
Urogenital System	Placenta	1310.0	1100.0
Urogenital System	Penis	1150.0	1050.0
Urogenital System	Testes	1070.0	1100.0
Digestive System	Peritoneum	2450.0	1050.0
Digestive System	Colon	1960.0	1100.0
Digestive System	Stomach	1620.0	1100.0
Digestive System	Esophagus	1280.0	1050.0
Digestive System	Small intestine	1010.0	1100.0
Digestive System	Pancreas	917.0	1100.0
Digestive System	Tongue	883.0	1100.0
Digestive System	Liver	620.0	1100.0
Digestive System	Salivary gland	488.0	1100.0
Endocrine System	Pituitary gland	2150.0	1100.0
Endocrine System	Adipose tissue	1840.0	1050.0
Endocrine System	Adrenal gland	1340.0	1100.0
Endocrine System	Thyroid gland	1310.0	1100.0
Exocrine System	Mammary gland	1900.0	1100.0
Immune System	Immune System	1700.0	1100.0
Respiratory System	Lung	1400.0	1100.0
Integumentary System	Skin	1190.0	1050.0
Olfactory System	Nervous System	715.0	1100.0
Visual System	Eye	710.0	1100.0
