system	organ	exp	control
Endocrine System	Adrenal gland	2360.0	419.0
Endocrine System	Adipose tissue	2060.0	141.0
Endocrine System	Thyroid gland	656.0	419.0
Endocrine System	Pituitary gland	463.0	419.0
Digestive System	Liver	1420.0	419.0
Digestive System	Pancreas	927.0	419.0
Digestive System	Colon	894.0	419.0
Digestive System	Tongue	724.0	419.0
Digestive System	Salivary gland	477.0	419.0
Digestive System	Small intestine	469.0	419.0
Digestive System	Stomach	424.0	419.0
Digestive System	Peritoneum	398.0	419.0
Digestive System	Esophagus	293.0	419.0
Urogenital System	Uterus	1130.0	419.0
Urogenital System	Testes	737.0	419.0
Urogenital System	Placenta	593.0	419.0
Urogenital System	Bladder	573.0	141.0
Urogenital System	Kidney	545.0	419.0
Urogenital System	Penis	490.0	141.0
Urogenital System	Ovary	415.0	419.0
Urogenital System	Vagina	413.0	419.0
Urogenital System	Prostate gland	376.0	419.0
Urogenital System	Urethra	360.0	141.0
Respiratory System	Lung	909.0	419.0
Musculoskeletal System	Skeletal Muscle	898.0	419.0
Musculoskeletal System	Joint	771.0	141.0
Immune System	Immune System	894.0	419.0
Cardiovascular System	Heart	772.0	419.0
Cardiovascular System	Vascular	504.0	419.0
Nervous System	Nervous System	750.0	419.0
Olfactory System	Nervous System	626.0	419.0
Integumentary System	Skin	626.0	141.0
Visual System	Eye	566.0	419.0
Exocrine System	Mammary gland	418.0	419.0
