system	organ	exp	control
Digestive System	Liver	4340.0	214.0
Digestive System	Colon	1520.0	214.0
Digestive System	Esophagus	1160.0	214.0
Digestive System	Peritoneum	929.0	214.0
Digestive System	Stomach	357.0	214.0
Digestive System	Small intestine	356.0	214.0
Digestive System	Salivary gland	201.0	214.0
Digestive System	Pancreas	128.0	214.0
Digestive System	Tongue	127.0	214.0
Urogenital System	Uterus	2150.0	214.0
Urogenital System	Vagina	794.0	214.0
Urogenital System	Prostate gland	462.0	214.0
Urogenital System	Bladder	333.0	214.0
Urogenital System	Ovary	232.0	214.0
Urogenital System	Kidney	133.0	214.0
Urogenital System	Penis	131.0	214.0
Urogenital System	Testes	128.0	214.0
Urogenital System	Placenta	121.0	214.0
Urogenital System	Urethra	110.0	214.0
Endocrine System	Adipose tissue	1770.0	214.0
Endocrine System	Adrenal gland	158.0	214.0
Endocrine System	Thyroid gland	156.0	214.0
Endocrine System	Pituitary gland	132.0	214.0
Cardiovascular System	Heart	1600.0	214.0
Cardiovascular System	Vascular	973.0	214.0
Nervous System	Nervous System	605.0	214.0
Integumentary System	Skin	575.0	214.0
Immune System	Immune System	512.0	214.0
Respiratory System	Lung	362.0	214.0
Musculoskeletal System	Skeletal Muscle	354.0	214.0
Musculoskeletal System	Joint	114.0	214.0
Exocrine System	Mammary gland	327.0	214.0
Visual System	Eye	107.0	214.0
Olfactory System	Nervous System	102.0	214.0
