system	organ	exp	control
Digestive System	Colon	2900.0	601.0
Digestive System	Small intestine	1430.0	601.0
Digestive System	Esophagus	1120.0	601.0
Digestive System	Tongue	804.0	601.0
Digestive System	Stomach	728.0	601.0
Digestive System	Peritoneum	701.0	601.0
Digestive System	Salivary gland	628.0	601.0
Digestive System	Pancreas	616.0	601.0
Digestive System	Liver	477.0	601.0
Musculoskeletal System	Joint	2070.0	601.0
Musculoskeletal System	Skeletal Muscle	1340.0	601.0
Cardiovascular System	Vascular	1530.0	601.0
Cardiovascular System	Heart	934.0	601.0
Urogenital System	Kidney	1510.0	601.0
Urogenital System	Vagina	1160.0	601.0
Urogenital System	Bladder	1040.0	601.0
Urogenital System	Uterus	940.0	601.0
Urogenital System	Penis	898.0	601.0
Urogenital System	Urethra	742.0	601.0
Urogenital System	Prostate gland	537.0	601.0
Urogenital System	Ovary	465.0	601.0
Urogenital System	Testes	432.0	601.0
Urogenital System	Placenta	419.0	601.0
Exocrine System	Mammary gland	1280.0	601.0
Respiratory System	Lung	1070.0	601.0
Immune System	Immune System	789.0	601.0
Nervous System	Nervous System	736.0	601.0
Endocrine System	Thyroid gland	649.0	601.0
Endocrine System	Adipose tissue	628.0	601.0
Endocrine System	Adrenal gland	563.0	601.0
Endocrine System	Pituitary gland	410.0	601.0
Integumentary System	Skin	628.0	601.0
Olfactory System	Nervous System	410.0	601.0
Visual System	Eye	338.0	601.0
