system	organ	exp	control
Immune System	Immune System	36800.0	154.0
Endocrine System	Pituitary gland	1270.0	154.0
Endocrine System	Adipose tissue	481.0	154.0
Endocrine System	Adrenal gland	322.0	154.0
Endocrine System	Thyroid gland	149.0	154.0
Respiratory System	Lung	1260.0	154.0
Musculoskeletal System	Joint	843.0	154.0
Musculoskeletal System	Skeletal Muscle	123.0	154.0
Cardiovascular System	Heart	636.0	154.0
Cardiovascular System	Vascular	581.0	154.0
Integumentary System	Skin	328.0	154.0
Digestive System	Salivary gland	307.0	154.0
Digestive System	Colon	250.0	154.0
Digestive System	Small intestine	240.0	154.0
Digestive System	Liver	226.0	154.0
Digestive System	Stomach	195.0	154.0
Digestive System	Peritoneum	157.0	154.0
Digestive System	Pancreas	146.0	154.0
Digestive System	Esophagus	131.0	154.0
Digestive System	Tongue	122.0	154.0
Nervous System	Nervous System	277.0	154.0
Urogenital System	Bladder	261.0	154.0
Urogenital System	Uterus	217.0	154.0
Urogenital System	Kidney	201.0	154.0
Urogenital System	Urethra	186.0	154.0
Urogenital System	Placenta	178.0	154.0
Urogenital System	Prostate gland	159.0	154.0
Urogenital System	Ovary	148.0	154.0
Urogenital System	Penis	141.0	154.0
Urogenital System	Vagina	135.0	154.0
Urogenital System	Testes	130.0	154.0
Exocrine System	Mammary gland	161.0	154.0
Olfactory System	Nervous System	139.0	154.0
Visual System	Eye	115.0	154.0
