system	organ	exp	control
Nervous System	Nervous System	2170.0	254.0
Endocrine System	Pituitary gland	822.0	183.0
Endocrine System	Adrenal gland	336.0	254.0
Endocrine System	Thyroid gland	258.0	254.0
Endocrine System	Adipose tissue	257.0	254.0
Immune System	Immune System	714.0	254.0
Digestive System	Salivary gland	583.0	254.0
Digestive System	Colon	469.0	254.0
Digestive System	Tongue	323.0	254.0
Digestive System	Peritoneum	299.0	254.0
Digestive System	Pancreas	294.0	254.0
Digestive System	Liver	288.0	254.0
Digestive System	Small intestine	282.0	254.0
Digestive System	Esophagus	246.0	254.0
Digestive System	Stomach	237.0	254.0
Cardiovascular System	Heart	414.0	254.0
Cardiovascular System	Vascular	354.0	254.0
Urogenital System	Testes	334.0	254.0
Urogenital System	Kidney	281.0	254.0
Urogenital System	Ovary	278.0	254.0
Urogenital System	Uterus	272.0	254.0
Urogenital System	Bladder	270.0	254.0
Urogenital System	Penis	249.0	254.0
Urogenital System	Vagina	237.0	254.0
Urogenital System	Urethra	229.0	254.0
Urogenital System	Prostate gland	224.0	254.0
Urogenital System	Placenta	224.0	254.0
Musculoskeletal System	Skeletal Muscle	318.0	254.0
Musculoskeletal System	Joint	245.0	254.0
Exocrine System	Mammary gland	271.0	254.0
Respiratory System	Lung	268.0	254.0
Olfactory System	Nervous System	224.0	254.0
Integumentary System	Skin	219.0	254.0
Visual System	Eye	209.0	254.0
