system	organ	exp	control
Immune System	Immune System	1980.0	176.0
Digestive System	Small intestine	1670.0	176.0
Digestive System	Colon	1540.0	176.0
Digestive System	Tongue	300.0	176.0
Digestive System	Pancreas	243.0	176.0
Digestive System	Liver	222.0	176.0
Digestive System	Salivary gland	183.0	176.0
Digestive System	Stomach	169.0	176.0
Digestive System	Esophagus	146.0	176.0
Digestive System	Peritoneum	144.0	176.0
Musculoskeletal System	Skeletal Muscle	400.0	176.0
Musculoskeletal System	Joint	129.0	176.0
Endocrine System	Thyroid gland	324.0	176.0
Endocrine System	Adrenal gland	304.0	176.0
Endocrine System	Pituitary gland	167.0	176.0
Endocrine System	Adipose tissue	158.0	176.0
Urogenital System	Bladder	297.0	176.0
Urogenital System	Testes	268.0	176.0
Urogenital System	Uterus	266.0	176.0
Urogenital System	Kidney	249.0	176.0
Urogenital System	Placenta	223.0	176.0
Urogenital System	Ovary	169.0	176.0
Urogenital System	Vagina	154.0	176.0
Urogenital System	Prostate gland	137.0	176.0
Urogenital System	Urethra	133.0	176.0
Urogenital System	Penis	123.0	176.0
Nervous System	Nervous System	289.0	176.0
Cardiovascular System	Heart	274.0	176.0
Cardiovascular System	Vascular	150.0	176.0
Respiratory System	Lung	255.0	176.0
Olfactory System	Nervous System	235.0	176.0
Visual System	Eye	202.0	176.0
Integumentary System	Skin	191.0	176.0
Exocrine System	Mammary gland	150.0	176.0
