system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	1480.0	334.0
Musculoskeletal System	Joint	251.0	334.0
Immune System	Immune System	1440.0	334.0
Digestive System	Colon	1190.0	334.0
Digestive System	Tongue	735.0	334.0
Digestive System	Pancreas	552.0	334.0
Digestive System	Liver	532.0	334.0
Digestive System	Salivary gland	437.0	334.0
Digestive System	Small intestine	299.0	334.0
Digestive System	Stomach	285.0	334.0
Digestive System	Peritoneum	272.0	334.0
Digestive System	Esophagus	221.0	334.0
Nervous System	Nervous System	966.0	334.0
Cardiovascular System	Heart	880.0	334.0
Cardiovascular System	Vascular	309.0	334.0
Endocrine System	Thyroid gland	824.0	334.0
Endocrine System	Adrenal gland	714.0	334.0
Endocrine System	Adipose tissue	361.0	334.0
Endocrine System	Pituitary gland	309.0	334.0
Urogenital System	Uterus	810.0	334.0
Urogenital System	Testes	757.0	334.0
Urogenital System	Kidney	668.0	334.0
Urogenital System	Placenta	497.0	334.0
Urogenital System	Ovary	362.0	334.0
Urogenital System	Bladder	301.0	334.0
Urogenital System	Vagina	273.0	334.0
Urogenital System	Prostate gland	244.0	334.0
Urogenital System	Penis	233.0	334.0
Urogenital System	Urethra	208.0	334.0
Olfactory System	Nervous System	677.0	334.0
Respiratory System	Lung	564.0	334.0
Visual System	Eye	342.0	334.0
Integumentary System	Skin	336.0	334.0
Exocrine System	Mammary gland	264.0	334.0
