system	organ	exp	control
Urogenital System	Placenta	2210.0	810.0
Urogenital System	Bladder	1180.0	810.0
Urogenital System	Uterus	1180.0	810.0
Urogenital System	Vagina	1100.0	810.0
Urogenital System	Ovary	979.0	810.0
Urogenital System	Penis	856.0	810.0
Urogenital System	Kidney	846.0	810.0
Urogenital System	Testes	840.0	810.0
Urogenital System	Prostate gland	756.0	810.0
Urogenital System	Urethra	652.0	810.0
Immune System	Immune System	2020.0	810.0
Nervous System	Nervous System	1740.0	810.0
Digestive System	Liver	1290.0	810.0
Digestive System	Colon	1110.0	810.0
Digestive System	Tongue	1060.0	810.0
Digestive System	Small intestine	971.0	810.0
Digestive System	Peritoneum	927.0	810.0
Digestive System	Pancreas	907.0	810.0
Digestive System	Stomach	869.0	810.0
Digestive System	Salivary gland	736.0	810.0
Digestive System	Esophagus	685.0	810.0
Visual System	Eye	1270.0	810.0
Cardiovascular System	Heart	1250.0	810.0
Cardiovascular System	Vascular	1140.0	810.0
Integumentary System	Skin	1190.0	810.0
Respiratory System	Lung	1140.0	810.0
Musculoskeletal System	Skeletal Muscle	1100.0	810.0
Musculoskeletal System	Joint	611.0	810.0
Endocrine System	Adrenal gland	1010.0	810.0
Endocrine System	Adipose tissue	892.0	810.0
Endocrine System	Thyroid gland	780.0	810.0
Endocrine System	Pituitary gland	516.0	810.0
Exocrine System	Mammary gland	902.0	810.0
Olfactory System	Nervous System	814.0	810.0
