system	organ	exp	control
Immune System	Immune System	52400.0	6730.0
Urogenital System	Placenta	29100.0	6730.0
Urogenital System	Vagina	12700.0	6730.0
Urogenital System	Uterus	11800.0	6730.0
Urogenital System	Ovary	9920.0	6730.0
Urogenital System	Penis	8260.0	6730.0
Urogenital System	Bladder	8000.0	6730.0
Urogenital System	Urethra	7270.0	6730.0
Urogenital System	Prostate gland	4780.0	6730.0
Urogenital System	Kidney	2860.0	6730.0
Urogenital System	Testes	1230.0	6730.0
Respiratory System	Lung	24400.0	6730.0
Endocrine System	Adrenal gland	22700.0	6730.0
Endocrine System	Adipose tissue	20100.0	6730.0
Endocrine System	Thyroid gland	10200.0	6730.0
Endocrine System	Pituitary gland	1860.0	6730.0
Digestive System	Liver	17800.0	6730.0
Digestive System	Colon	10500.0	6730.0
Digestive System	Tongue	9860.0	6730.0
Digestive System	Salivary gland	9320.0	6730.0
Digestive System	Small intestine	9300.0	6730.0
Digestive System	Stomach	7580.0	6730.0
Digestive System	Pancreas	6550.0	6730.0
Digestive System	Esophagus	6420.0	6730.0
Digestive System	Peritoneum	2740.0	6730.0
Cardiovascular System	Heart	17400.0	6730.0
Cardiovascular System	Vascular	13200.0	6730.0
Exocrine System	Mammary gland	14200.0	6730.0
Integumentary System	Skin	14100.0	6730.0
Musculoskeletal System	Skeletal Muscle	12000.0	6730.0
Musculoskeletal System	Joint	7840.0	6730.0
Visual System	Eye	8880.0	6730.0
Nervous System	Nervous System	7560.0	6730.0
Olfactory System	Nervous System	4520.0	6730.0
