system	organ	exp	control
Immune System	Immune System	1010.0	147.0
Digestive System	Small intestine	343.0	147.0
Digestive System	Colon	303.0	147.0
Digestive System	Stomach	222.0	147.0
Digestive System	Liver	152.0	147.0
Digestive System	Tongue	150.0	147.0
Digestive System	Esophagus	149.0	147.0
Digestive System	Salivary gland	144.0	147.0
Digestive System	Peritoneum	139.0	147.0
Digestive System	Pancreas	138.0	147.0
Integumentary System	Skin	250.0	147.0
Nervous System	Nervous System	213.0	147.0
Urogenital System	Uterus	174.0	147.0
Urogenital System	Placenta	165.0	147.0
Urogenital System	Vagina	164.0	147.0
Urogenital System	Kidney	159.0	147.0
Urogenital System	Penis	157.0	147.0
Urogenital System	Prostate gland	154.0	147.0
Urogenital System	Testes	150.0	100.0
Urogenital System	Ovary	145.0	147.0
Urogenital System	Urethra	141.0	147.0
Urogenital System	Bladder	136.0	147.0
Cardiovascular System	Vascular	157.0	147.0
Cardiovascular System	Heart	147.0	147.0
Endocrine System	Adipose tissue	155.0	147.0
Endocrine System	Pituitary gland	146.0	147.0
Endocrine System	Thyroid gland	145.0	147.0
Endocrine System	Adrenal gland	132.0	147.0
Respiratory System	Lung	151.0	147.0
Exocrine System	Mammary gland	148.0	147.0
Musculoskeletal System	Skeletal Muscle	144.0	147.0
Musculoskeletal System	Joint	143.0	147.0
Olfactory System	Nervous System	111.0	100.0
Visual System	Eye	99.8	100.0
