system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	2580.0	333.0
Musculoskeletal System	Joint	192.0	333.0
Digestive System	Colon	1480.0	333.0
Digestive System	Tongue	754.0	333.0
Digestive System	Liver	538.0	333.0
Digestive System	Pancreas	484.0	333.0
Digestive System	Salivary gland	329.0	333.0
Digestive System	Stomach	311.0	333.0
Digestive System	Small intestine	288.0	333.0
Digestive System	Peritoneum	182.0	333.0
Digestive System	Esophagus	168.0	333.0
Nervous System	Nervous System	1320.0	333.0
Endocrine System	Thyroid gland	865.0	333.0
Endocrine System	Adrenal gland	712.0	333.0
Endocrine System	Pituitary gland	299.0	333.0
Endocrine System	Adipose tissue	227.0	333.0
Cardiovascular System	Heart	862.0	333.0
Cardiovascular System	Vascular	278.0	333.0
Urogenital System	Uterus	861.0	333.0
Urogenital System	Kidney	751.0	333.0
Urogenital System	Testes	680.0	333.0
Urogenital System	Placenta	474.0	333.0
Urogenital System	Bladder	437.0	333.0
Urogenital System	Ovary	302.0	333.0
Urogenital System	Vagina	220.0	333.0
Urogenital System	Prostate gland	217.0	333.0
Urogenital System	Urethra	158.0	333.0
Urogenital System	Penis	149.0	333.0
Immune System	Immune System	823.0	333.0
Olfactory System	Nervous System	619.0	333.0
Respiratory System	Lung	504.0	333.0
Visual System	Eye	414.0	333.0
Integumentary System	Skin	268.0	333.0
Exocrine System	Mammary gland	218.0	333.0
