system	organ	exp	control
Immune System	Immune System	1750.0	258.0
Digestive System	Small intestine	1380.0	258.0
Digestive System	Colon	459.0	258.0
Digestive System	Stomach	366.0	258.0
Digestive System	Salivary gland	282.0	258.0
Digestive System	Esophagus	281.0	258.0
Digestive System	Liver	275.0	258.0
Digestive System	Tongue	273.0	258.0
Digestive System	Pancreas	257.0	258.0
Digestive System	Peritoneum	191.0	258.0
Nervous System	Nervous System	563.0	258.0
Urogenital System	Testes	518.0	258.0
Urogenital System	Bladder	366.0	258.0
Urogenital System	Vagina	337.0	258.0
Urogenital System	Prostate gland	327.0	258.0
Urogenital System	Urethra	299.0	258.0
Urogenital System	Uterus	265.0	258.0
Urogenital System	Ovary	259.0	258.0
Urogenital System	Kidney	228.0	258.0
Urogenital System	Penis	218.0	258.0
Urogenital System	Placenta	202.0	258.0
Endocrine System	Thyroid gland	383.0	258.0
Endocrine System	Adrenal gland	267.0	258.0
Endocrine System	Pituitary gland	236.0	258.0
Endocrine System	Adipose tissue	217.0	258.0
Cardiovascular System	Vascular	339.0	258.0
Cardiovascular System	Heart	273.0	258.0
Musculoskeletal System	Joint	328.0	258.0
Musculoskeletal System	Skeletal Muscle	286.0	258.0
Respiratory System	Lung	278.0	258.0
Exocrine System	Mammary gland	246.0	258.0
Integumentary System	Skin	242.0	258.0
Visual System	Eye	233.0	258.0
Olfactory System	Nervous System	178.0	258.0
