system	organ	exp	control
Immune System	Immune System	2130.0	335.0
Digestive System	Small intestine	1170.0	335.0
Digestive System	Colon	1100.0	335.0
Digestive System	Peritoneum	605.0	335.0
Digestive System	Salivary gland	482.0	335.0
Digestive System	Tongue	452.0	335.0
Digestive System	Esophagus	438.0	335.0
Digestive System	Stomach	396.0	335.0
Digestive System	Liver	383.0	335.0
Digestive System	Pancreas	171.0	335.0
Musculoskeletal System	Skeletal Muscle	743.0	335.0
Musculoskeletal System	Joint	522.0	335.0
Urogenital System	Kidney	636.0	335.0
Urogenital System	Penis	499.0	335.0
Urogenital System	Urethra	446.0	335.0
Urogenital System	Uterus	426.0	335.0
Urogenital System	Prostate gland	421.0	335.0
Urogenital System	Vagina	327.0	335.0
Urogenital System	Ovary	293.0	335.0
Urogenital System	Testes	267.0	335.0
Urogenital System	Placenta	230.0	335.0
Urogenital System	Bladder	226.0	335.0
Integumentary System	Skin	622.0	335.0
Cardiovascular System	Vascular	441.0	335.0
Cardiovascular System	Heart	419.0	335.0
Endocrine System	Adipose tissue	438.0	335.0
Endocrine System	Thyroid gland	363.0	335.0
Endocrine System	Pituitary gland	348.0	335.0
Endocrine System	Adrenal gland	314.0	335.0
Nervous System	Nervous System	429.0	335.0
Exocrine System	Mammary gland	422.0	335.0
Respiratory System	Lung	399.0	335.0
Visual System	Eye	329.0	335.0
Olfactory System	Nervous System	152.0	335.0
