system	organ	exp	control
Digestive System	Colon	26300.0	2110.0
Digestive System	Stomach	12300.0	2110.0
Digestive System	Esophagus	4490.0	2110.0
Digestive System	Small intestine	3330.0	2110.0
Digestive System	Tongue	2390.0	2110.0
Digestive System	Salivary gland	2200.0	2110.0
Digestive System	Pancreas	1650.0	2110.0
Digestive System	Peritoneum	1600.0	2110.0
Digestive System	Liver	1590.0	2110.0
Nervous System	Nervous System	23800.0	2110.0
Urogenital System	Prostate gland	9920.0	2110.0
Urogenital System	Testes	5470.0	2110.0
Urogenital System	Uterus	5220.0	2110.0
Urogenital System	Kidney	4880.0	2110.0
Urogenital System	Urethra	4480.0	2110.0
Urogenital System	Vagina	3920.0	2110.0
Urogenital System	Bladder	3460.0	2110.0
Urogenital System	Penis	2130.0	2110.0
Urogenital System	Ovary	1250.0	2110.0
Urogenital System	Placenta	872.0	2110.0
Musculoskeletal System	Skeletal Muscle	8310.0	2110.0
Musculoskeletal System	Joint	1360.0	2110.0
Cardiovascular System	Vascular	7840.0	2110.0
Cardiovascular System	Heart	5520.0	2110.0
Immune System	Immune System	4650.0	2110.0
Endocrine System	Thyroid gland	4110.0	2110.0
Endocrine System	Adipose tissue	2730.0	2110.0
Endocrine System	Pituitary gland	2440.0	2110.0
Endocrine System	Adrenal gland	2050.0	2110.0
Respiratory System	Lung	4050.0	2110.0
Exocrine System	Mammary gland	3980.0	2110.0
Olfactory System	Nervous System	3180.0	2110.0
Integumentary System	Skin	2100.0	2110.0
Visual System	Eye	1060.0	2110.0
