system	organ	exp	control
Digestive System	Liver	15600.0	4340.0
Digestive System	Colon	7870.0	4340.0
Digestive System	Small intestine	6650.0	4340.0
Digestive System	Salivary gland	6240.0	4340.0
Digestive System	Tongue	5970.0	4340.0
Digestive System	Esophagus	5890.0	4340.0
Digestive System	Stomach	4810.0	4340.0
Digestive System	Pancreas	3880.0	4340.0
Digestive System	Peritoneum	2990.0	4340.0
Endocrine System	Adrenal gland	12900.0	4340.0
Endocrine System	Adipose tissue	6540.0	4340.0
Endocrine System	Thyroid gland	3790.0	4340.0
Endocrine System	Pituitary gland	2120.0	4340.0
Olfactory System	Nervous System	10400.0	4340.0
Respiratory System	Lung	7860.0	4340.0
Urogenital System	Placenta	7850.0	4340.0
Urogenital System	Kidney	6380.0	4340.0
Urogenital System	Vagina	5520.0	4340.0
Urogenital System	Prostate gland	5360.0	4340.0
Urogenital System	Bladder	4460.0	4340.0
Urogenital System	Urethra	4450.0	4340.0
Urogenital System	Ovary	4360.0	4340.0
Urogenital System	Penis	4010.0	4340.0
Urogenital System	Uterus	3970.0	4340.0
Urogenital System	Testes	2900.0	4340.0
Nervous System	Nervous System	7510.0	4340.0
Immune System	Immune System	5720.0	4340.0
Exocrine System	Mammary gland	5530.0	4340.0
Visual System	Eye	5510.0	4340.0
Musculoskeletal System	Skeletal Muscle	5510.0	4340.0
Musculoskeletal System	Joint	4220.0	4340.0
Cardiovascular System	Vascular	5080.0	4340.0
Cardiovascular System	Heart	4840.0	4340.0
Integumentary System	Skin	3190.0	4340.0
