system	organ	exp	control
Nervous System	Nervous System	2600.0	583.0
Cardiovascular System	Heart	1710.0	583.0
Cardiovascular System	Vascular	470.0	583.0
Digestive System	Tongue	1700.0	583.0
Digestive System	Colon	1650.0	583.0
Digestive System	Salivary gland	1090.0	583.0
Digestive System	Pancreas	965.0	583.0
Digestive System	Liver	719.0	583.0
Digestive System	Peritoneum	560.0	583.0
Digestive System	Small intestine	453.0	583.0
Digestive System	Stomach	413.0	583.0
Digestive System	Esophagus	395.0	583.0
Endocrine System	Thyroid gland	1680.0	583.0
Endocrine System	Adrenal gland	1050.0	583.0
Endocrine System	Pituitary gland	715.0	583.0
Endocrine System	Adipose tissue	421.0	583.0
Musculoskeletal System	Skeletal Muscle	1670.0	583.0
Musculoskeletal System	Joint	421.0	583.0
Immune System	Immune System	1280.0	583.0
Urogenital System	Testes	1210.0	583.0
Urogenital System	Kidney	965.0	583.0
Urogenital System	Bladder	854.0	583.0
Urogenital System	Uterus	787.0	583.0
Urogenital System	Placenta	591.0	583.0
Urogenital System	Ovary	576.0	583.0
Urogenital System	Vagina	449.0	583.0
Urogenital System	Prostate gland	405.0	583.0
Urogenital System	Penis	346.0	583.0
Urogenital System	Urethra	323.0	583.0
Olfactory System	Nervous System	1140.0	583.0
Respiratory System	Lung	713.0	583.0
Exocrine System	Mammary gland	493.0	583.0
Visual System	Eye	481.0	390.0
Integumentary System	Skin	448.0	583.0
