system	organ	exp	control
Immune System	Immune System	19500.0	1380.0
Nervous System	Nervous System	5850.0	1380.0
Urogenital System	Placenta	5510.0	1380.0
Urogenital System	Bladder	1840.0	1380.0
Urogenital System	Uterus	1580.0	1380.0
Urogenital System	Vagina	1480.0	1380.0
Urogenital System	Penis	1390.0	1380.0
Urogenital System	Urethra	1380.0	1380.0
Urogenital System	Ovary	1330.0	1380.0
Urogenital System	Kidney	1170.0	1380.0
Urogenital System	Prostate gland	999.0	1380.0
Urogenital System	Testes	823.0	1380.0
Musculoskeletal System	Joint	4210.0	1380.0
Musculoskeletal System	Skeletal Muscle	1930.0	1380.0
Cardiovascular System	Vascular	3940.0	1380.0
Cardiovascular System	Heart	1580.0	1380.0
Endocrine System	Adipose tissue	3360.0	1380.0
Endocrine System	Adrenal gland	2110.0	1380.0
Endocrine System	Pituitary gland	1430.0	1380.0
Endocrine System	Thyroid gland	1070.0	1380.0
Olfactory System	Nervous System	2580.0	1380.0
Digestive System	Small intestine	2340.0	1380.0
Digestive System	Colon	2040.0	1380.0
Digestive System	Liver	1790.0	1380.0
Digestive System	Stomach	1600.0	1380.0
Digestive System	Pancreas	1320.0	1380.0
Digestive System	Peritoneum	1200.0	1380.0
Digestive System	Tongue	1150.0	1380.0
Digestive System	Salivary gland	1100.0	1380.0
Digestive System	Esophagus	1020.0	1380.0
Respiratory System	Lung	2240.0	1380.0
Exocrine System	Mammary gland	2060.0	1380.0
Integumentary System	Skin	1340.0	1380.0
Visual System	Eye	904.0	1380.0
