system	organ	exp	control
Immune System	Immune System	11700.0	2780.0
Nervous System	Nervous System	6240.0	2780.0
Digestive System	Salivary gland	4730.0	2780.0
Digestive System	Small intestine	3660.0	2780.0
Digestive System	Colon	3530.0	2780.0
Digestive System	Stomach	3470.0	2780.0
Digestive System	Peritoneum	2940.0	2780.0
Digestive System	Tongue	2690.0	2780.0
Digestive System	Esophagus	2630.0	2780.0
Digestive System	Pancreas	2620.0	2780.0
Digestive System	Liver	2020.0	2780.0
Visual System	Eye	4700.0	2780.0
Urogenital System	Uterus	4050.0	2780.0
Urogenital System	Prostate gland	3820.0	2780.0
Urogenital System	Ovary	2980.0	2780.0
Urogenital System	Kidney	2960.0	2780.0
Urogenital System	Urethra	2890.0	2780.0
Urogenital System	Vagina	2780.0	2780.0
Urogenital System	Penis	2300.0	2780.0
Urogenital System	Bladder	2290.0	2780.0
Urogenital System	Placenta	2260.0	2780.0
Urogenital System	Testes	2200.0	2780.0
Exocrine System	Mammary gland	3890.0	2780.0
Respiratory System	Lung	3880.0	2780.0
Endocrine System	Pituitary gland	3760.0	2780.0
Endocrine System	Thyroid gland	3750.0	2780.0
Endocrine System	Adrenal gland	3160.0	2780.0
Endocrine System	Adipose tissue	2650.0	2780.0
Cardiovascular System	Vascular	3050.0	2780.0
Cardiovascular System	Heart	2110.0	2780.0
Integumentary System	Skin	2580.0	2780.0
Musculoskeletal System	Joint	2480.0	2780.0
Musculoskeletal System	Skeletal Muscle	2380.0	2780.0
Olfactory System	Nervous System	2020.0	2780.0
