system	organ	exp	control
Digestive System	Liver	3880.0	301.0
Digestive System	Colon	1440.0	301.0
Digestive System	Tongue	738.0	301.0
Digestive System	Pancreas	562.0	301.0
Digestive System	Small intestine	553.0	301.0
Digestive System	Stomach	367.0	301.0
Digestive System	Salivary gland	315.0	301.0
Digestive System	Esophagus	183.0	301.0
Digestive System	Peritoneum	154.0	301.0
Nervous System	Nervous System	1440.0	301.0
Cardiovascular System	Heart	1410.0	301.0
Cardiovascular System	Vascular	229.0	301.0
Musculoskeletal System	Skeletal Muscle	781.0	301.0
Musculoskeletal System	Joint	177.0	301.0
Urogenital System	Testes	756.0	301.0
Urogenital System	Uterus	668.0	301.0
Urogenital System	Kidney	528.0	301.0
Urogenital System	Placenta	494.0	301.0
Urogenital System	Bladder	479.0	301.0
Urogenital System	Ovary	331.0	301.0
Urogenital System	Prostate gland	224.0	301.0
Urogenital System	Vagina	207.0	301.0
Urogenital System	Penis	170.0	301.0
Urogenital System	Urethra	155.0	301.0
Olfactory System	Nervous System	712.0	301.0
Immune System	Immune System	634.0	301.0
Endocrine System	Thyroid gland	627.0	301.0
Endocrine System	Adrenal gland	627.0	301.0
Endocrine System	Pituitary gland	275.0	301.0
Endocrine System	Adipose tissue	196.0	301.0
Respiratory System	Lung	589.0	301.0
Integumentary System	Skin	303.0	301.0
Exocrine System	Mammary gland	274.0	301.0
Visual System	Eye	243.0	301.0
