system	organ	exp	control
Digestive System	Liver	61300.0	331.0
Digestive System	Stomach	3930.0	331.0
Digestive System	Esophagus	1090.0	331.0
Digestive System	Tongue	665.0	331.0
Digestive System	Colon	529.0	331.0
Digestive System	Small intestine	459.0	331.0
Digestive System	Pancreas	443.0	331.0
Digestive System	Salivary gland	323.0	331.0
Digestive System	Peritoneum	232.0	331.0
Respiratory System	Lung	1750.0	331.0
Integumentary System	Skin	854.0	331.0
Immune System	Immune System	770.0	331.0
Nervous System	Nervous System	630.0	331.0
Cardiovascular System	Vascular	621.0	331.0
Cardiovascular System	Heart	488.0	331.0
Musculoskeletal System	Skeletal Muscle	590.0	331.0
Musculoskeletal System	Joint	315.0	331.0
Urogenital System	Penis	554.0	331.0
Urogenital System	Kidney	550.0	331.0
Urogenital System	Testes	444.0	331.0
Urogenital System	Prostate gland	402.0	331.0
Urogenital System	Uterus	388.0	331.0
Urogenital System	Ovary	325.0	331.0
Urogenital System	Vagina	314.0	331.0
Urogenital System	Bladder	311.0	331.0
Urogenital System	Urethra	290.0	331.0
Urogenital System	Placenta	283.0	331.0
Endocrine System	Adrenal gland	433.0	331.0
Endocrine System	Thyroid gland	400.0	331.0
Endocrine System	Pituitary gland	300.0	331.0
Endocrine System	Adipose tissue	299.0	331.0
Exocrine System	Mammary gland	396.0	331.0
Olfactory System	Nervous System	339.0	284.0
Visual System	Eye	334.0	331.0
