system	organ	exp	control
Digestive System	Small intestine	7070.0	614.0
Digestive System	Liver	3680.0	614.0
Digestive System	Colon	2040.0	614.0
Digestive System	Esophagus	1220.0	614.0
Digestive System	Tongue	776.0	614.0
Digestive System	Pancreas	632.0	614.0
Digestive System	Stomach	584.0	614.0
Digestive System	Salivary gland	571.0	614.0
Digestive System	Peritoneum	309.0	614.0
Cardiovascular System	Heart	3610.0	614.0
Cardiovascular System	Vascular	809.0	614.0
Nervous System	Nervous System	2100.0	614.0
Musculoskeletal System	Skeletal Muscle	1790.0	614.0
Musculoskeletal System	Joint	376.0	614.0
Urogenital System	Placenta	1250.0	614.0
Urogenital System	Bladder	1180.0	614.0
Urogenital System	Vagina	924.0	614.0
Urogenital System	Penis	758.0	614.0
Urogenital System	Testes	751.0	614.0
Urogenital System	Kidney	662.0	614.0
Urogenital System	Uterus	655.0	614.0
Urogenital System	Prostate gland	484.0	614.0
Urogenital System	Ovary	385.0	614.0
Urogenital System	Urethra	342.0	614.0
Olfactory System	Nervous System	1000.0	614.0
Respiratory System	Lung	851.0	614.0
Immune System	Immune System	775.0	614.0
Exocrine System	Mammary gland	757.0	614.0
Integumentary System	Skin	749.0	614.0
Endocrine System	Adrenal gland	668.0	614.0
Endocrine System	Thyroid gland	665.0	614.0
Endocrine System	Adipose tissue	517.0	614.0
Endocrine System	Pituitary gland	430.0	614.0
Visual System	Eye	546.0	614.0
