system	organ	exp	control
Nervous System	Nervous System	2380.0	680.0
Cardiovascular System	Heart	2030.0	680.0
Cardiovascular System	Vascular	728.0	680.0
Digestive System	Pancreas	1790.0	680.0
Digestive System	Tongue	1710.0	680.0
Digestive System	Colon	1360.0	680.0
Digestive System	Liver	1100.0	680.0
Digestive System	Salivary gland	1030.0	617.0
Digestive System	Stomach	839.0	680.0
Digestive System	Peritoneum	736.0	617.0
Digestive System	Small intestine	728.0	680.0
Digestive System	Esophagus	516.0	617.0
Urogenital System	Testes	1670.0	680.0
Urogenital System	Uterus	1210.0	680.0
Urogenital System	Kidney	1130.0	680.0
Urogenital System	Bladder	1100.0	680.0
Urogenital System	Placenta	1060.0	680.0
Urogenital System	Ovary	697.0	680.0
Urogenital System	Vagina	605.0	680.0
Urogenital System	Prostate gland	494.0	680.0
Urogenital System	Penis	429.0	680.0
Urogenital System	Urethra	416.0	617.0
Endocrine System	Thyroid gland	1570.0	680.0
Endocrine System	Pituitary gland	1440.0	680.0
Endocrine System	Adrenal gland	1360.0	680.0
Endocrine System	Adipose tissue	567.0	617.0
Musculoskeletal System	Skeletal Muscle	1490.0	680.0
Musculoskeletal System	Joint	501.0	617.0
Respiratory System	Lung	1430.0	680.0
Immune System	Immune System	1410.0	680.0
Visual System	Eye	1270.0	680.0
Olfactory System	Nervous System	1170.0	680.0
Exocrine System	Mammary gland	629.0	680.0
Integumentary System	Skin	579.0	680.0
