system	organ	exp	control
Immune System	Immune System	1950.0	605.0
Digestive System	Colon	1810.0	605.0
Digestive System	Salivary gland	1120.0	605.0
Digestive System	Liver	880.0	605.0
Digestive System	Tongue	840.0	605.0
Digestive System	Pancreas	768.0	605.0
Digestive System	Stomach	703.0	605.0
Digestive System	Small intestine	652.0	605.0
Digestive System	Peritoneum	569.0	605.0
Digestive System	Esophagus	494.0	605.0
Nervous System	Nervous System	1290.0	605.0
Musculoskeletal System	Skeletal Muscle	1170.0	605.0
Musculoskeletal System	Joint	493.0	605.0
Cardiovascular System	Heart	916.0	605.0
Cardiovascular System	Vascular	808.0	605.0
Urogenital System	Bladder	871.0	605.0
Urogenital System	Testes	799.0	605.0
Urogenital System	Kidney	727.0	605.0
Urogenital System	Uterus	668.0	605.0
Urogenital System	Penis	627.0	605.0
Urogenital System	Ovary	576.0	605.0
Urogenital System	Placenta	573.0	435.0
Urogenital System	Vagina	551.0	605.0
Urogenital System	Prostate gland	473.0	605.0
Urogenital System	Urethra	426.0	605.0
Olfactory System	Nervous System	814.0	605.0
Endocrine System	Adrenal gland	809.0	605.0
Endocrine System	Thyroid gland	718.0	605.0
Endocrine System	Adipose tissue	516.0	605.0
Endocrine System	Pituitary gland	502.0	605.0
Respiratory System	Lung	795.0	605.0
Exocrine System	Mammary gland	748.0	605.0
Integumentary System	Skin	530.0	605.0
Visual System	Eye	428.0	435.0
