system	organ	exp	control
Urogenital System	Uterus	12600.0	447.0
Urogenital System	Vagina	8070.0	447.0
Urogenital System	Urethra	5810.0	447.0
Urogenital System	Ovary	4060.0	447.0
Urogenital System	Prostate gland	3030.0	447.0
Urogenital System	Penis	2650.0	447.0
Urogenital System	Bladder	1350.0	447.0
Urogenital System	Testes	706.0	510.0
Urogenital System	Kidney	613.0	510.0
Urogenital System	Placenta	576.0	510.0
Cardiovascular System	Heart	4940.0	510.0
Cardiovascular System	Vascular	3530.0	447.0
Respiratory System	Lung	2690.0	447.0
Digestive System	Peritoneum	1590.0	447.0
Digestive System	Colon	1200.0	510.0
Digestive System	Stomach	1040.0	510.0
Digestive System	Salivary gland	887.0	510.0
Digestive System	Small intestine	796.0	510.0
Digestive System	Liver	752.0	510.0
Digestive System	Tongue	698.0	510.0
Digestive System	Pancreas	588.0	510.0
Digestive System	Esophagus	413.0	510.0
Musculoskeletal System	Joint	1370.0	447.0
Musculoskeletal System	Skeletal Muscle	1140.0	510.0
Exocrine System	Mammary gland	1310.0	447.0
Endocrine System	Adipose tissue	1170.0	447.0
Endocrine System	Thyroid gland	797.0	510.0
Endocrine System	Adrenal gland	640.0	510.0
Endocrine System	Pituitary gland	396.0	510.0
Integumentary System	Skin	1140.0	447.0
Nervous System	Nervous System	1070.0	510.0
Immune System	Immune System	764.0	510.0
Olfactory System	Nervous System	533.0	510.0
Visual System	Eye	391.0	447.0
