system	organ	exp	control
Cardiovascular System	Vascular	73100.0	18000.0
Cardiovascular System	Heart	35000.0	18000.0
Urogenital System	Bladder	66000.0	18000.0
Urogenital System	Uterus	45300.0	18000.0
Urogenital System	Ovary	39600.0	18000.0
Urogenital System	Kidney	38800.0	18000.0
Urogenital System	Prostate gland	24800.0	18000.0
Urogenital System	Urethra	23600.0	18000.0
Urogenital System	Vagina	21600.0	18000.0
Urogenital System	Penis	17500.0	18000.0
Urogenital System	Placenta	14000.0	18000.0
Urogenital System	Testes	7510.0	18000.0
Respiratory System	Lung	63000.0	18000.0
Nervous System	Nervous System	42000.0	18000.0
Digestive System	Stomach	36000.0	18000.0
Digestive System	Colon	32400.0	18000.0
Digestive System	Salivary gland	28100.0	18000.0
Digestive System	Tongue	23100.0	18000.0
Digestive System	Esophagus	16100.0	18000.0
Digestive System	Peritoneum	16100.0	18000.0
Digestive System	Small intestine	13900.0	18000.0
Digestive System	Liver	13600.0	18000.0
Digestive System	Pancreas	7730.0	18000.0
Endocrine System	Adipose tissue	32400.0	18000.0
Endocrine System	Thyroid gland	30400.0	18000.0
Endocrine System	Adrenal gland	22400.0	18000.0
Endocrine System	Pituitary gland	18500.0	18000.0
Exocrine System	Mammary gland	30900.0	18000.0
Immune System	Immune System	16800.0	18000.0
Musculoskeletal System	Joint	15800.0	18000.0
Musculoskeletal System	Skeletal Muscle	15100.0	18000.0
Integumentary System	Skin	12000.0	18000.0
Olfactory System	Nervous System	8700.0	5840.0
Visual System	Eye	7810.0	5840.0
