system	organ	exp	control
Immune System	Immune System	46900.0	227.0
Digestive System	Colon	2000.0	227.0
Digestive System	Liver	1720.0	227.0
Digestive System	Tongue	399.0	227.0
Digestive System	Pancreas	356.0	227.0
Digestive System	Salivary gland	342.0	227.0
Digestive System	Small intestine	272.0	227.0
Digestive System	Stomach	198.0	227.0
Digestive System	Esophagus	171.0	227.0
Digestive System	Peritoneum	148.0	227.0
Musculoskeletal System	Skeletal Muscle	761.0	227.0
Musculoskeletal System	Joint	245.0	227.0
Respiratory System	Lung	726.0	227.0
Integumentary System	Skin	481.0	227.0
Urogenital System	Uterus	422.0	227.0
Urogenital System	Testes	320.0	227.0
Urogenital System	Kidney	266.0	227.0
Urogenital System	Placenta	257.0	227.0
Urogenital System	Vagina	240.0	227.0
Urogenital System	Bladder	199.0	227.0
Urogenital System	Prostate gland	198.0	227.0
Urogenital System	Ovary	190.0	227.0
Urogenital System	Penis	182.0	227.0
Urogenital System	Urethra	179.0	227.0
Nervous System	Nervous System	395.0	227.0
Olfactory System	Nervous System	362.0	227.0
Endocrine System	Thyroid gland	339.0	227.0
Endocrine System	Adrenal gland	311.0	227.0
Endocrine System	Adipose tissue	257.0	227.0
Endocrine System	Pituitary gland	196.0	227.0
Cardiovascular System	Heart	295.0	227.0
Cardiovascular System	Vascular	237.0	227.0
Exocrine System	Mammary gland	242.0	227.0
Visual System	Eye	153.0	227.0
