system	organ	exp	control
Respiratory System	Lung	5510.0	602.0
Digestive System	Esophagus	3930.0	602.0
Digestive System	Colon	3550.0	602.0
Digestive System	Salivary gland	3120.0	602.0
Digestive System	Tongue	1440.0	602.0
Digestive System	Stomach	826.0	602.0
Digestive System	Pancreas	649.0	602.0
Digestive System	Liver	636.0	602.0
Digestive System	Small intestine	622.0	602.0
Digestive System	Peritoneum	597.0	602.0
Visual System	Eye	2580.0	602.0
Immune System	Immune System	1920.0	602.0
Urogenital System	Vagina	1600.0	602.0
Urogenital System	Uterus	1460.0	602.0
Urogenital System	Penis	1240.0	602.0
Urogenital System	Bladder	1150.0	602.0
Urogenital System	Urethra	1000.0	602.0
Urogenital System	Kidney	686.0	602.0
Urogenital System	Placenta	671.0	602.0
Urogenital System	Ovary	459.0	602.0
Urogenital System	Prostate gland	433.0	602.0
Urogenital System	Testes	364.0	602.0
Cardiovascular System	Heart	1220.0	602.0
Cardiovascular System	Vascular	927.0	602.0
Integumentary System	Skin	1200.0	602.0
Endocrine System	Adipose tissue	990.0	602.0
Endocrine System	Adrenal gland	625.0	602.0
Endocrine System	Thyroid gland	590.0	602.0
Endocrine System	Pituitary gland	343.0	602.0
Exocrine System	Mammary gland	936.0	602.0
Musculoskeletal System	Skeletal Muscle	697.0	602.0
Musculoskeletal System	Joint	517.0	602.0
Olfactory System	Nervous System	612.0	602.0
Nervous System	Nervous System	580.0	602.0
