system	organ	exp	control
Immune System	Immune System	4820.0	912.0
Musculoskeletal System	Skeletal Muscle	3040.0	912.0
Musculoskeletal System	Joint	853.0	912.0
Digestive System	Colon	2250.0	912.0
Digestive System	Tongue	1720.0	912.0
Digestive System	Pancreas	1410.0	706.0
Digestive System	Liver	1320.0	912.0
Digestive System	Small intestine	1150.0	912.0
Digestive System	Salivary gland	1130.0	912.0
Digestive System	Peritoneum	846.0	912.0
Digestive System	Stomach	786.0	912.0
Digestive System	Esophagus	644.0	912.0
Cardiovascular System	Heart	2240.0	912.0
Cardiovascular System	Vascular	1080.0	912.0
Nervous System	Nervous System	2010.0	912.0
Endocrine System	Adrenal gland	1740.0	912.0
Endocrine System	Thyroid gland	1580.0	912.0
Endocrine System	Adipose tissue	1040.0	912.0
Endocrine System	Pituitary gland	962.0	912.0
Urogenital System	Testes	1650.0	912.0
Urogenital System	Vagina	1310.0	912.0
Urogenital System	Kidney	1270.0	912.0
Urogenital System	Uterus	1220.0	912.0
Urogenital System	Ovary	1140.0	912.0
Urogenital System	Placenta	945.0	706.0
Urogenital System	Penis	896.0	912.0
Urogenital System	Bladder	876.0	912.0
Urogenital System	Prostate gland	696.0	912.0
Urogenital System	Urethra	642.0	912.0
Olfactory System	Nervous System	1440.0	912.0
Respiratory System	Lung	1300.0	912.0
Exocrine System	Mammary gland	759.0	912.0
Integumentary System	Skin	586.0	912.0
Visual System	Eye	564.0	912.0
