system	organ	exp	control
Immune System	Immune System	920.0	399.0
Nervous System	Nervous System	864.0	399.0
Digestive System	Colon	814.0	399.0
Digestive System	Tongue	534.0	399.0
Digestive System	Stomach	482.0	399.0
Digestive System	Peritoneum	476.0	399.0
Digestive System	Small intestine	456.0	399.0
Digestive System	Pancreas	440.0	309.0
Digestive System	Salivary gland	429.0	399.0
Digestive System	Liver	420.0	399.0
Digestive System	Esophagus	375.0	399.0
Cardiovascular System	Heart	798.0	399.0
Cardiovascular System	Vascular	579.0	399.0
Musculoskeletal System	Skeletal Muscle	556.0	399.0
Musculoskeletal System	Joint	369.0	399.0
Urogenital System	Testes	540.0	399.0
Urogenital System	Bladder	531.0	399.0
Urogenital System	Uterus	469.0	399.0
Urogenital System	Kidney	453.0	399.0
Urogenital System	Ovary	450.0	399.0
Urogenital System	Vagina	419.0	399.0
Urogenital System	Penis	387.0	399.0
Urogenital System	Prostate gland	359.0	399.0
Urogenital System	Placenta	355.0	309.0
Urogenital System	Urethra	323.0	399.0
Olfactory System	Nervous System	471.0	230.0
Endocrine System	Adrenal gland	466.0	399.0
Endocrine System	Adipose tissue	453.0	399.0
Endocrine System	Thyroid gland	430.0	399.0
Endocrine System	Pituitary gland	415.0	399.0
Respiratory System	Lung	461.0	399.0
Exocrine System	Mammary gland	446.0	399.0
Integumentary System	Skin	342.0	399.0
Visual System	Eye	259.0	399.0
