system	organ	exp	control
Nervous System	Nervous System	16300.0	5530.0
Musculoskeletal System	Skeletal Muscle	13600.0	5530.0
Musculoskeletal System	Joint	5330.0	5530.0
Endocrine System	Thyroid gland	11800.0	5530.0
Endocrine System	Adrenal gland	10800.0	5530.0
Endocrine System	Adipose tissue	8850.0	5530.0
Endocrine System	Pituitary gland	3840.0	5530.0
Immune System	Immune System	11500.0	5530.0
Respiratory System	Lung	10000.0	5530.0
Cardiovascular System	Heart	10000.0	5530.0
Cardiovascular System	Vascular	6770.0	5530.0
Urogenital System	Vagina	9170.0	5530.0
Urogenital System	Placenta	7770.0	5530.0
Urogenital System	Ovary	6650.0	5530.0
Urogenital System	Uterus	6600.0	5530.0
Urogenital System	Penis	5860.0	5530.0
Urogenital System	Kidney	5700.0	5530.0
Urogenital System	Prostate gland	5610.0	5530.0
Urogenital System	Urethra	5390.0	5530.0
Urogenital System	Testes	5200.0	3880.0
Urogenital System	Bladder	4240.0	3880.0
Digestive System	Colon	8610.0	5530.0
Digestive System	Small intestine	7300.0	5530.0
Digestive System	Stomach	6550.0	5530.0
Digestive System	Peritoneum	5820.0	5530.0
Digestive System	Esophagus	5690.0	5530.0
Digestive System	Liver	5550.0	5530.0
Digestive System	Tongue	4960.0	5530.0
Digestive System	Salivary gland	4800.0	5530.0
Digestive System	Pancreas	4590.0	3880.0
Exocrine System	Mammary gland	6350.0	5530.0
Integumentary System	Skin	5120.0	5530.0
Olfactory System	Nervous System	5100.0	5530.0
Visual System	Eye	3630.0	5530.0
