system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	2610.0	518.0
Musculoskeletal System	Joint	228.0	518.0
Digestive System	Liver	2350.0	518.0
Digestive System	Stomach	2060.0	518.0
Digestive System	Colon	1490.0	518.0
Digestive System	Tongue	1380.0	518.0
Digestive System	Pancreas	1130.0	518.0
Digestive System	Small intestine	762.0	518.0
Digestive System	Salivary gland	626.0	518.0
Digestive System	Peritoneum	251.0	518.0
Digestive System	Esophagus	221.0	518.0
Nervous System	Nervous System	1610.0	518.0
Respiratory System	Lung	1530.0	518.0
Endocrine System	Adrenal gland	1360.0	518.0
Endocrine System	Thyroid gland	1140.0	518.0
Endocrine System	Pituitary gland	406.0	518.0
Endocrine System	Adipose tissue	404.0	518.0
Urogenital System	Kidney	1230.0	518.0
Urogenital System	Testes	1070.0	518.0
Urogenital System	Uterus	1060.0	518.0
Urogenital System	Placenta	578.0	518.0
Urogenital System	Bladder	481.0	518.0
Urogenital System	Ovary	347.0	518.0
Urogenital System	Prostate gland	305.0	518.0
Urogenital System	Vagina	296.0	518.0
Urogenital System	Penis	201.0	518.0
Urogenital System	Urethra	196.0	518.0
Cardiovascular System	Heart	1200.0	518.0
Cardiovascular System	Vascular	524.0	518.0
Immune System	Immune System	1030.0	518.0
Olfactory System	Nervous System	1010.0	518.0
Integumentary System	Skin	407.0	518.0
Visual System	Eye	328.0	518.0
Exocrine System	Mammary gland	297.0	518.0
