system	organ	exp	control
Cardiovascular System	Heart	238.0	113.0
Cardiovascular System	Vascular	104.0	113.0
Nervous System	Nervous System	220.0	113.0
Immune System	Immune System	217.0	113.0
Digestive System	Tongue	183.0	113.0
Digestive System	Small intestine	170.0	113.0
Digestive System	Colon	170.0	113.0
Digestive System	Pancreas	156.0	113.0
Digestive System	Liver	132.0	113.0
Digestive System	Peritoneum	127.0	113.0
Digestive System	Stomach	119.0	113.0
Digestive System	Salivary gland	109.0	113.0
Digestive System	Esophagus	94.1	113.0
Musculoskeletal System	Skeletal Muscle	180.0	113.0
Musculoskeletal System	Joint	102.0	113.0
Olfactory System	Nervous System	169.0	113.0
Endocrine System	Thyroid gland	157.0	113.0
Endocrine System	Pituitary gland	157.0	113.0
Endocrine System	Adrenal gland	138.0	113.0
Endocrine System	Adipose tissue	94.8	113.0
Urogenital System	Testes	155.0	113.0
Urogenital System	Uterus	136.0	113.0
Urogenital System	Kidney	129.0	113.0
Urogenital System	Placenta	127.0	113.0
Urogenital System	Bladder	123.0	113.0
Urogenital System	Ovary	112.0	113.0
Urogenital System	Prostate gland	108.0	113.0
Urogenital System	Vagina	102.0	113.0
Urogenital System	Penis	99.0	113.0
Urogenital System	Urethra	96.0	113.0
Respiratory System	Lung	137.0	113.0
Visual System	Eye	118.0	113.0
Integumentary System	Skin	105.0	113.0
Exocrine System	Mammary gland	104.0	113.0
