system	organ	exp	control
Immune System	Immune System	2300.0	626.0
Digestive System	Liver	2070.0	626.0
Digestive System	Colon	1160.0	626.0
Digestive System	Pancreas	887.0	626.0
Digestive System	Tongue	813.0	626.0
Digestive System	Salivary gland	775.0	626.0
Digestive System	Small intestine	769.0	626.0
Digestive System	Stomach	724.0	626.0
Digestive System	Peritoneum	584.0	626.0
Digestive System	Esophagus	494.0	626.0
Nervous System	Nervous System	1290.0	626.0
Musculoskeletal System	Skeletal Muscle	1180.0	626.0
Musculoskeletal System	Joint	612.0	626.0
Urogenital System	Kidney	941.0	626.0
Urogenital System	Uterus	782.0	626.0
Urogenital System	Testes	748.0	626.0
Urogenital System	Bladder	741.0	518.0
Urogenital System	Placenta	665.0	626.0
Urogenital System	Vagina	630.0	626.0
Urogenital System	Ovary	569.0	626.0
Urogenital System	Prostate gland	537.0	626.0
Urogenital System	Penis	530.0	626.0
Urogenital System	Urethra	474.0	626.0
Cardiovascular System	Vascular	939.0	626.0
Cardiovascular System	Heart	924.0	626.0
Endocrine System	Adipose tissue	753.0	626.0
Endocrine System	Thyroid gland	733.0	626.0
Endocrine System	Pituitary gland	706.0	626.0
Endocrine System	Adrenal gland	666.0	626.0
Olfactory System	Nervous System	731.0	518.0
Respiratory System	Lung	707.0	626.0
Exocrine System	Mammary gland	650.0	626.0
Integumentary System	Skin	644.0	626.0
Visual System	Eye	632.0	518.0
