system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	166000.0	29000.0
Musculoskeletal System	Joint	25800.0	29000.0
Endocrine System	Pituitary gland	83700.0	29000.0
Endocrine System	Thyroid gland	74600.0	29000.0
Endocrine System	Adrenal gland	53400.0	29000.0
Endocrine System	Adipose tissue	37700.0	29000.0
Nervous System	Nervous System	77200.0	29000.0
Cardiovascular System	Heart	67000.0	29000.0
Cardiovascular System	Vascular	33400.0	29000.0
Digestive System	Salivary gland	56900.0	29000.0
Digestive System	Stomach	40400.0	29000.0
Digestive System	Small intestine	38300.0	29000.0
Digestive System	Tongue	35200.0	29000.0
Digestive System	Esophagus	33800.0	29000.0
Digestive System	Liver	28800.0	29000.0
Digestive System	Pancreas	28400.0	29000.0
Digestive System	Colon	28400.0	29000.0
Digestive System	Peritoneum	18100.0	29000.0
Immune System	Immune System	54200.0	29000.0
Urogenital System	Kidney	53000.0	29000.0
Urogenital System	Urethra	35400.0	29000.0
Urogenital System	Prostate gland	33200.0	29000.0
Urogenital System	Uterus	31600.0	29000.0
Urogenital System	Bladder	29000.0	25000.0
Urogenital System	Testes	28600.0	29000.0
Urogenital System	Placenta	25900.0	29000.0
Urogenital System	Ovary	23200.0	29000.0
Urogenital System	Vagina	22700.0	29000.0
Urogenital System	Penis	22300.0	29000.0
Respiratory System	Lung	41600.0	29000.0
Olfactory System	Nervous System	32600.0	24800.0
Exocrine System	Mammary gland	29300.0	29000.0
Integumentary System	Skin	21100.0	29000.0
Visual System	Eye	19700.0	25000.0
