system	organ	exp	control
Digestive System	Colon	1220.0	427.0
Digestive System	Liver	610.0	427.0
Digestive System	Pancreas	546.0	427.0
Digestive System	Stomach	465.0	427.0
Digestive System	Small intestine	464.0	427.0
Digestive System	Tongue	454.0	427.0
Digestive System	Salivary gland	431.0	427.0
Digestive System	Esophagus	420.0	427.0
Digestive System	Peritoneum	357.0	427.0
Cardiovascular System	Vascular	626.0	427.0
Cardiovascular System	Heart	535.0	427.0
Immune System	Immune System	620.0	427.0
Endocrine System	Adipose tissue	606.0	427.0
Endocrine System	Pituitary gland	545.0	427.0
Endocrine System	Adrenal gland	445.0	427.0
Endocrine System	Thyroid gland	440.0	427.0
Musculoskeletal System	Skeletal Muscle	558.0	427.0
Musculoskeletal System	Joint	403.0	427.0
Urogenital System	Kidney	533.0	427.0
Urogenital System	Placenta	462.0	427.0
Urogenital System	Vagina	451.0	427.0
Urogenital System	Uterus	435.0	427.0
Urogenital System	Testes	433.0	427.0
Urogenital System	Ovary	401.0	427.0
Urogenital System	Prostate gland	347.0	427.0
Urogenital System	Penis	342.0	427.0
Urogenital System	Urethra	339.0	427.0
Urogenital System	Bladder	338.0	427.0
Nervous System	Nervous System	494.0	427.0
Integumentary System	Skin	459.0	427.0
Exocrine System	Mammary gland	455.0	427.0
Respiratory System	Lung	447.0	427.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
