system	organ	exp	control
Nervous System	Nervous System	2900.0	228.0
Musculoskeletal System	Skeletal Muscle	797.0	228.0
Musculoskeletal System	Joint	167.0	228.0
Cardiovascular System	Heart	650.0	228.0
Cardiovascular System	Vascular	291.0	228.0
Digestive System	Colon	636.0	228.0
Digestive System	Tongue	481.0	228.0
Digestive System	Pancreas	332.0	228.0
Digestive System	Liver	329.0	228.0
Digestive System	Salivary gland	240.0	228.0
Digestive System	Stomach	210.0	228.0
Digestive System	Small intestine	208.0	228.0
Digestive System	Peritoneum	141.0	228.0
Digestive System	Esophagus	130.0	228.0
Immune System	Immune System	603.0	228.0
Urogenital System	Testes	516.0	228.0
Urogenital System	Uterus	472.0	228.0
Urogenital System	Kidney	425.0	228.0
Urogenital System	Placenta	332.0	228.0
Urogenital System	Bladder	319.0	228.0
Urogenital System	Ovary	246.0	228.0
Urogenital System	Prostate gland	169.0	228.0
Urogenital System	Penis	152.0	228.0
Urogenital System	Vagina	151.0	228.0
Urogenital System	Urethra	143.0	228.0
Endocrine System	Thyroid gland	486.0	228.0
Endocrine System	Adrenal gland	468.0	228.0
Endocrine System	Pituitary gland	233.0	228.0
Endocrine System	Adipose tissue	180.0	228.0
Olfactory System	Nervous System	477.0	228.0
Respiratory System	Lung	393.0	228.0
Visual System	Eye	217.0	228.0
Integumentary System	Skin	199.0	228.0
Exocrine System	Mammary gland	180.0	228.0
