system	organ	exp	control
Immune System	Immune System	443.0	163.0
Nervous System	Nervous System	402.0	163.0
Digestive System	Colon	298.0	163.0
Digestive System	Peritoneum	196.0	163.0
Digestive System	Tongue	186.0	163.0
Digestive System	Salivary gland	170.0	141.0
Digestive System	Liver	165.0	163.0
Digestive System	Pancreas	163.0	163.0
Digestive System	Stomach	160.0	163.0
Digestive System	Small intestine	156.0	163.0
Digestive System	Esophagus	149.0	163.0
Musculoskeletal System	Skeletal Muscle	225.0	163.0
Musculoskeletal System	Joint	150.0	163.0
Cardiovascular System	Heart	218.0	163.0
Cardiovascular System	Vascular	168.0	163.0
Urogenital System	Bladder	209.0	163.0
Urogenital System	Ovary	196.0	163.0
Urogenital System	Testes	188.0	163.0
Urogenital System	Uterus	181.0	163.0
Urogenital System	Vagina	171.0	163.0
Urogenital System	Placenta	167.0	163.0
Urogenital System	Kidney	157.0	163.0
Urogenital System	Prostate gland	148.0	163.0
Urogenital System	Penis	143.0	163.0
Urogenital System	Urethra	125.0	141.0
Exocrine System	Mammary gland	179.0	163.0
Endocrine System	Thyroid gland	165.0	163.0
Endocrine System	Adrenal gland	162.0	163.0
Endocrine System	Adipose tissue	159.0	163.0
Endocrine System	Pituitary gland	137.0	163.0
Respiratory System	Lung	158.0	163.0
Olfactory System	Nervous System	158.0	163.0
Integumentary System	Skin	155.0	163.0
Visual System	Eye	145.0	163.0
