system	organ	exp	control
Nervous System	Nervous System	4080.0	1150.0
Immune System	Immune System	3880.0	1150.0
Cardiovascular System	Heart	3480.0	1150.0
Cardiovascular System	Vascular	2000.0	1150.0
Digestive System	Colon	2620.0	1150.0
Digestive System	Tongue	2150.0	1150.0
Digestive System	Salivary gland	1750.0	1150.0
Digestive System	Pancreas	1410.0	1150.0
Digestive System	Small intestine	1380.0	1150.0
Digestive System	Liver	1300.0	1150.0
Digestive System	Stomach	1140.0	1150.0
Digestive System	Peritoneum	983.0	1150.0
Digestive System	Esophagus	914.0	1150.0
Musculoskeletal System	Skeletal Muscle	2390.0	1150.0
Musculoskeletal System	Joint	747.0	1150.0
Olfactory System	Nervous System	1990.0	1150.0
Endocrine System	Thyroid gland	1880.0	1150.0
Endocrine System	Adrenal gland	1560.0	1150.0
Endocrine System	Pituitary gland	1180.0	1150.0
Endocrine System	Adipose tissue	1150.0	1150.0
Urogenital System	Testes	1830.0	1150.0
Urogenital System	Bladder	1750.0	1150.0
Urogenital System	Kidney	1410.0	1150.0
Urogenital System	Uterus	1350.0	1150.0
Urogenital System	Vagina	1200.0	1150.0
Urogenital System	Ovary	1070.0	1150.0
Urogenital System	Placenta	997.0	1150.0
Urogenital System	Prostate gland	659.0	1150.0
Urogenital System	Urethra	643.0	1150.0
Urogenital System	Penis	603.0	1150.0
Respiratory System	Lung	1230.0	1150.0
Exocrine System	Mammary gland	1030.0	1150.0
Integumentary System	Skin	792.0	1150.0
Visual System	Eye	582.0	1150.0
