system	organ	exp	control
Nervous System	Nervous System	1790.0	279.0
Digestive System	Colon	983.0	279.0
Digestive System	Pancreas	496.0	279.0
Digestive System	Peritoneum	340.0	279.0
Digestive System	Salivary gland	330.0	279.0
Digestive System	Tongue	325.0	279.0
Digestive System	Esophagus	298.0	279.0
Digestive System	Stomach	298.0	279.0
Digestive System	Small intestine	288.0	279.0
Digestive System	Liver	247.0	279.0
Immune System	Immune System	640.0	279.0
Cardiovascular System	Heart	490.0	279.0
Cardiovascular System	Vascular	323.0	279.0
Integumentary System	Skin	355.0	279.0
Musculoskeletal System	Skeletal Muscle	351.0	279.0
Musculoskeletal System	Joint	320.0	279.0
Exocrine System	Mammary gland	342.0	279.0
Endocrine System	Adipose tissue	337.0	279.0
Endocrine System	Adrenal gland	289.0	279.0
Endocrine System	Thyroid gland	270.0	279.0
Endocrine System	Pituitary gland	255.0	279.0
Urogenital System	Vagina	331.0	279.0
Urogenital System	Uterus	320.0	279.0
Urogenital System	Ovary	315.0	279.0
Urogenital System	Testes	308.0	279.0
Urogenital System	Penis	306.0	279.0
Urogenital System	Bladder	290.0	193.0
Urogenital System	Urethra	281.0	279.0
Urogenital System	Kidney	276.0	279.0
Urogenital System	Prostate gland	262.0	279.0
Urogenital System	Placenta	213.0	279.0
Respiratory System	Lung	316.0	279.0
Olfactory System	Nervous System	311.0	193.0
Visual System	Eye	211.0	193.0
