system	organ	exp	control
Nervous System	Nervous System	2950.0	1320.0
Urogenital System	Placenta	2420.0	1320.0
Urogenital System	Bladder	2260.0	1320.0
Urogenital System	Testes	2180.0	1010.0
Urogenital System	Penis	1700.0	1320.0
Urogenital System	Prostate gland	1580.0	1320.0
Urogenital System	Vagina	1580.0	1320.0
Urogenital System	Uterus	1560.0	1320.0
Urogenital System	Kidney	1250.0	1320.0
Urogenital System	Urethra	1240.0	1320.0
Urogenital System	Ovary	1110.0	1320.0
Immune System	Immune System	2410.0	1320.0
Digestive System	Small intestine	2370.0	1320.0
Digestive System	Salivary gland	1950.0	1320.0
Digestive System	Colon	1520.0	1320.0
Digestive System	Tongue	1410.0	1320.0
Digestive System	Peritoneum	1280.0	1010.0
Digestive System	Esophagus	1270.0	1010.0
Digestive System	Stomach	1240.0	1320.0
Digestive System	Liver	1000.0	1010.0
Digestive System	Pancreas	818.0	1320.0
Musculoskeletal System	Skeletal Muscle	2290.0	1320.0
Musculoskeletal System	Joint	1650.0	1320.0
Exocrine System	Mammary gland	2150.0	1320.0
Cardiovascular System	Heart	2010.0	1320.0
Cardiovascular System	Vascular	1320.0	1320.0
Integumentary System	Skin	1850.0	1320.0
Endocrine System	Pituitary gland	1620.0	1320.0
Endocrine System	Adrenal gland	1610.0	1320.0
Endocrine System	Adipose tissue	1430.0	1320.0
Endocrine System	Thyroid gland	1290.0	1320.0
Respiratory System	Lung	1280.0	1010.0
Olfactory System	Nervous System	540.0	1010.0
Visual System	Eye	286.0	1010.0
